,drug1,drug2,cell,synergy,fold,SynClass
146,5-FU,BORTEZOMIB,SKMES1,-11.64272985,2,0
147,5-FU,BORTEZOMIB,SKOV3,-4.604893623,2,0
148,5-FU,BORTEZOMIB,SW620,-1.907966818,2,0
149,5-FU,BORTEZOMIB,SW837,-1.3618595,2,0
151,5-FU,BORTEZOMIB,UACC62,-17.84185108,2,0
152,5-FU,BORTEZOMIB,UWB1289,-15.03075018,2,0
153,5-FU,BORTEZOMIB,UWB1289BRCA1,-2.819780355,2,0
154,5-FU,BORTEZOMIB,VCAP,-7.053510631,2,0
155,5-FU,BORTEZOMIB,ZR751,-17.45137527,2,0
156,5-FU,DASATINIB,A2058,31.12564418,1,1
157,5-FU,DASATINIB,A2780,50.60366026,1,1
159,5-FU,DASATINIB,A427,28.34808451,1,1
160,5-FU,DASATINIB,CAOV3,17.87983173,1,1
162,5-FU,DASATINIB,DLD1,21.43309088,1,1
164,5-FU,DASATINIB,ES2,17.69019535,1,1
165,5-FU,DASATINIB,HCT116,-7.819271786,1,0
166,5-FU,DASATINIB,HT144,-22.97327812,1,0
167,5-FU,DASATINIB,HT29,17.06698076,1,1
170,5-FU,DASATINIB,LOVO,21.38558819,1,1
171,5-FU,DASATINIB,MDAMB436,18.71869688,1,1
172,5-FU,DASATINIB,MSTO,17.56299065,1,1
173,5-FU,DASATINIB,NCIH1650,23.23497071,1,1
174,5-FU,DASATINIB,NCIH2122,-31.1947196,1,0
175,5-FU,DASATINIB,NCIH23,11.55914675,1,1
176,5-FU,DASATINIB,NCIH460,21.6687261,1,1
177,5-FU,DASATINIB,NCIH520,42.73505144,1,1
178,5-FU,DASATINIB,OCUBM,-6.043503552,1,0
180,5-FU,DASATINIB,OVCAR3,57.03314711,1,1
181,5-FU,DASATINIB,PA1,33.90828352,1,1
182,5-FU,DASATINIB,RKO,17.31163283,1,1
183,5-FU,DASATINIB,RPMI7951,19.06355103,1,1
184,5-FU,DASATINIB,SKMEL30,-4.618694814,1,0
187,5-FU,DASATINIB,SW620,30.44463084,1,1
188,5-FU,DASATINIB,SW837,15.87733689,1,1
189,5-FU,DASATINIB,T47D,18.86560141,1,1
190,5-FU,DASATINIB,UACC62,12.12396034,1,1
193,5-FU,DASATINIB,VCAP,21.45572644,1,1
196,5-FU,DINACICLIB,A2780,-8.161128639,0,0
197,5-FU,DINACICLIB,A375,-5.415934201,0,0
198,5-FU,DINACICLIB,A427,-7.747473682,0,0
199,5-FU,DINACICLIB,CAOV3,-14.34742589,0,0
201,5-FU,DINACICLIB,DLD1,-3.641267266,0,0
205,5-FU,DINACICLIB,HT144,-3.477422217,0,0
206,5-FU,DINACICLIB,HT29,-2.539408744,0,0
208,5-FU,DINACICLIB,LNCAP,-0.848044466,0,0
209,5-FU,DINACICLIB,LOVO,-11.87695993,0,0
212,5-FU,DINACICLIB,NCIH1650,-2.113223506,0,0
214,5-FU,DINACICLIB,NCIH23,-9.5337023,0,0
215,5-FU,DINACICLIB,NCIH460,-7.420980558,0,0
216,5-FU,DINACICLIB,NCIH520,-4.321048546,0,0
218,5-FU,DINACICLIB,OV90,-5.935579062,0,0
220,5-FU,DINACICLIB,PA1,-5.732865144,0,0
222,5-FU,DINACICLIB,RPMI7951,-5.68699024,0,0
223,5-FU,DINACICLIB,SKMEL30,-96.61714003,0,0
224,5-FU,DINACICLIB,SKMES1,-3.140341301,0,0
225,5-FU,DINACICLIB,SKOV3,-13.89910152,0,0
226,5-FU,DINACICLIB,SW620,-4.568071398,0,0
227,5-FU,DINACICLIB,SW837,-19.57332293,0,0
228,5-FU,DINACICLIB,T47D,-2.721986339,0,0
230,5-FU,DINACICLIB,UWB1289,-0.233190592,0,0
232,5-FU,DINACICLIB,VCAP,14.421994,0,1
233,5-FU,DINACICLIB,ZR751,-13.58239014,0,0
235,5-FU,ERLOTINIB,A2780,16.5693311,3,1
236,5-FU,ERLOTINIB,A375,13.96439243,3,1
237,5-FU,ERLOTINIB,A427,18.42925816,3,1
238,5-FU,ERLOTINIB,CAOV3,-7.951635169,3,0
239,5-FU,ERLOTINIB,COLO320DM,22.16797341,3,1
240,5-FU,ERLOTINIB,DLD1,10.18127129,3,1
241,5-FU,ERLOTINIB,EFM192B,10.54345636,3,1
242,5-FU,ERLOTINIB,ES2,15.1231625,3,1
243,5-FU,ERLOTINIB,HCT116,14.45297793,3,1
245,5-FU,ERLOTINIB,HT29,11.33747162,3,1
246,5-FU,ERLOTINIB,KPL1,-3.015273458,3,0
247,5-FU,ERLOTINIB,LNCAP,-6.984395195,3,0
248,5-FU,ERLOTINIB,LOVO,12.41733168,3,1
249,5-FU,ERLOTINIB,MDAMB436,16.1498979,3,1
250,5-FU,ERLOTINIB,MSTO,-45.89376066,3,0
252,5-FU,ERLOTINIB,NCIH2122,24.45497683,3,1
254,5-FU,ERLOTINIB,NCIH460,17.22484698,3,1
256,5-FU,ERLOTINIB,OCUBM,28.14443856,3,1
257,5-FU,ERLOTINIB,OV90,-11.04004585,3,0
258,5-FU,ERLOTINIB,OVCAR3,29.20125585,3,1
259,5-FU,ERLOTINIB,PA1,11.22320591,3,1
260,5-FU,ERLOTINIB,RKO,20.98757258,3,1
261,5-FU,ERLOTINIB,RPMI7951,17.00484175,3,1
262,5-FU,ERLOTINIB,SKMEL30,13.95488386,3,1
263,5-FU,ERLOTINIB,SKMES1,21.28942476,3,1
264,5-FU,ERLOTINIB,SKOV3,16.21061763,3,1
266,5-FU,ERLOTINIB,SW837,17.29938762,3,1
267,5-FU,ERLOTINIB,T47D,-3.049710368,3,0
268,5-FU,ERLOTINIB,UACC62,17.96898601,3,1
269,5-FU,ERLOTINIB,UWB1289,16.44435109,3,1
270,5-FU,ERLOTINIB,UWB1289BRCA1,22.19123604,3,1
271,5-FU,ERLOTINIB,VCAP,24.41379314,3,1
272,5-FU,ERLOTINIB,ZR751,22.8306176,3,1
277,5-FU,GELDANAMYCIN,CAOV3,-12.98670671,4,0
281,5-FU,GELDANAMYCIN,ES2,-5.25702499,4,0
284,5-FU,GELDANAMYCIN,HT29,-3.946071269,4,0
286,5-FU,GELDANAMYCIN,LNCAP,16.30963881,4,1
287,5-FU,GELDANAMYCIN,LOVO,-6.353136659,4,0
290,5-FU,GELDANAMYCIN,NCIH1650,-6.752269383,4,0
291,5-FU,GELDANAMYCIN,NCIH2122,-2.692734853,4,0
292,5-FU,GELDANAMYCIN,NCIH23,-9.33481084,4,0
293,5-FU,GELDANAMYCIN,NCIH460,-2.446804514,4,0
295,5-FU,GELDANAMYCIN,OCUBM,-0.938924849,4,0
297,5-FU,GELDANAMYCIN,OVCAR3,-8.840446825,4,0
298,5-FU,GELDANAMYCIN,PA1,-1.794612188,4,0
300,5-FU,GELDANAMYCIN,RPMI7951,-8.084247184,4,0
301,5-FU,GELDANAMYCIN,SKMEL30,-80.63896867,4,0
303,5-FU,GELDANAMYCIN,SKOV3,-9.188164195,4,0
304,5-FU,GELDANAMYCIN,SW620,-2.851271236,4,0
305,5-FU,GELDANAMYCIN,SW837,-10.01418099,4,0
306,5-FU,GELDANAMYCIN,T47D,30.67999441,4,1
307,5-FU,GELDANAMYCIN,UACC62,-1.345401011,4,0
308,5-FU,GELDANAMYCIN,UWB1289,-6.752981256,4,0
309,5-FU,GELDANAMYCIN,UWB1289BRCA1,-7.747059794,4,0
310,5-FU,GELDANAMYCIN,VCAP,14.04451922,4,1
311,5-FU,GELDANAMYCIN,ZR751,-15.00928456,4,0
315,5-FU,L778123,A427,12.32774894,1,1
316,5-FU,L778123,CAOV3,-11.24456132,1,0
317,5-FU,L778123,COLO320DM,17.75043545,1,1
318,5-FU,L778123,DLD1,13.25292423,1,1
320,5-FU,L778123,ES2,10.11350733,1,1
321,5-FU,L778123,HCT116,11.7123653,1,1
323,5-FU,L778123,HT29,17.54397425,1,1
329,5-FU,L778123,NCIH1650,12.21982489,1,1
332,5-FU,L778123,NCIH460,-0.561759117,1,0
333,5-FU,L778123,NCIH520,13.77820507,1,1
334,5-FU,L778123,OCUBM,10.93903802,1,1
335,5-FU,L778123,OV90,12.2053451,1,1
337,5-FU,L778123,PA1,14.5367423,1,1
340,5-FU,L778123,SKMEL30,-57.88453337,1,0
344,5-FU,L778123,SW837,-4.457131373,1,0
345,5-FU,L778123,T47D,21.15875733,1,1
347,5-FU,L778123,UWB1289,13.71992559,1,1
348,5-FU,L778123,UWB1289BRCA1,12.54763533,1,1
349,5-FU,L778123,VCAP,12.74042941,1,1
354,5-FU,LAPATINIB,A427,-4.179454254,1,0
355,5-FU,LAPATINIB,CAOV3,-6.77752803,1,0
357,5-FU,LAPATINIB,DLD1,11.55462668,1,1
363,5-FU,LAPATINIB,KPL1,-9.537311313,1,0
364,5-FU,LAPATINIB,LNCAP,-16.37649722,1,0
365,5-FU,LAPATINIB,LOVO,17.4905864,1,1
367,5-FU,LAPATINIB,MSTO,-55.47026432,1,0
370,5-FU,LAPATINIB,NCIH23,-8.734799525,1,0
371,5-FU,LAPATINIB,NCIH460,-2.035012581,1,0
372,5-FU,LAPATINIB,NCIH520,-7.263521908,1,0
374,5-FU,LAPATINIB,OV90,-9.295070254,1,0
375,5-FU,LAPATINIB,OVCAR3,18.01185705,1,1
376,5-FU,LAPATINIB,PA1,14.15921887,1,1
377,5-FU,LAPATINIB,RKO,11.54453602,1,1
380,5-FU,LAPATINIB,SKMES1,11.05964102,1,1
382,5-FU,LAPATINIB,SW620,-2.41819166,1,0
384,5-FU,LAPATINIB,T47D,14.90928278,1,1
387,5-FU,LAPATINIB,UWB1289BRCA1,19.00587521,1,1
388,5-FU,LAPATINIB,VCAP,10.63255814,1,1
389,5-FU,LAPATINIB,ZR751,14.67630666,1,1
390,5-FU,MK-2206,A2058,15.9003976,2,1
391,5-FU,MK-2206,A2780,18.65621252,2,1
393,5-FU,MK-2206,A427,14.11709974,2,1
394,5-FU,MK-2206,CAOV3,41.06914178,2,1
395,5-FU,MK-2206,COLO320DM,23.48420717,2,1
396,5-FU,MK-2206,DLD1,17.47319506,2,1
397,5-FU,MK-2206,EFM192B,-2.225501932,2,0
401,5-FU,MK-2206,HT29,15.70450582,2,1
402,5-FU,MK-2206,KPL1,26.86477535,2,1
405,5-FU,MK-2206,MDAMB436,11.60537383,2,1
406,5-FU,MK-2206,MSTO,-35.31198822,2,0
407,5-FU,MK-2206,NCIH1650,12.96089082,2,1
408,5-FU,MK-2206,NCIH2122,14.51823605,2,1
410,5-FU,MK-2206,NCIH460,16.58359358,2,1
411,5-FU,MK-2206,NCIH520,12.9538647,2,1
414,5-FU,MK-2206,OVCAR3,16.36791509,2,1
415,5-FU,MK-2206,PA1,22.84385673,2,1
416,5-FU,MK-2206,RKO,21.99868299,2,1
417,5-FU,MK-2206,RPMI7951,13.79249022,2,1
419,5-FU,MK-2206,SKMES1,18.50316129,2,1
420,5-FU,MK-2206,SKOV3,12.72593158,2,1
421,5-FU,MK-2206,SW620,12.55548781,2,1
424,5-FU,MK-2206,UACC62,16.67190273,2,1
425,5-FU,MK-2206,UWB1289,20.75862339,2,1
426,5-FU,MK-2206,UWB1289BRCA1,21.70836662,2,1
428,5-FU,MK-2206,ZR751,11.56023639,2,1
431,5-FU,MK-4827,A375,-2.191356891,3,0
433,5-FU,MK-4827,CAOV3,-3.746010144,3,0
436,5-FU,MK-4827,EFM192B,-6.781376309,3,0
437,5-FU,MK-4827,ES2,-4.081486949,3,0
439,5-FU,MK-4827,HT144,-2.572706421,3,0
441,5-FU,MK-4827,KPL1,-3.723996971,3,0
442,5-FU,MK-4827,LNCAP,-24.4814919,3,0
443,5-FU,MK-4827,LOVO,-14.5737162,3,0
445,5-FU,MK-4827,MSTO,-54.84820211,3,0
446,5-FU,MK-4827,NCIH1650,-9.248017329,3,0
448,5-FU,MK-4827,NCIH23,-10.52634233,3,0
449,5-FU,MK-4827,NCIH460,-2.86047703,3,0
451,5-FU,MK-4827,OCUBM,10.33658786,3,1
452,5-FU,MK-4827,OV90,-11.5759633,3,0
453,5-FU,MK-4827,OVCAR3,-1.837636378,3,0
455,5-FU,MK-4827,RKO,-0.321869637,3,0
459,5-FU,MK-4827,SKOV3,-0.060945557,3,0
461,5-FU,MK-4827,SW837,-12.72451513,3,0
462,5-FU,MK-4827,T47D,-9.881815829,3,0
466,5-FU,MK-4827,VCAP,10.98857906,3,1
472,5-FU,MK-5108,CAOV3,-13.04134069,2,0
473,5-FU,MK-5108,COLO320DM,12.58425366,2,1
475,5-FU,MK-5108,EFM192B,-0.31414384,2,0
477,5-FU,MK-5108,HCT116,16.57015644,2,1
479,5-FU,MK-5108,HT29,12.43049188,2,1
481,5-FU,MK-5108,LNCAP,-20.6434715,2,0
484,5-FU,MK-5108,MSTO,-34.44593587,2,0
485,5-FU,MK-5108,NCIH1650,-0.65998377,2,0
486,5-FU,MK-5108,NCIH2122,-1.788640257,2,0
487,5-FU,MK-5108,NCIH23,-2.774618677,2,0
488,5-FU,MK-5108,NCIH460,-5.659480778,2,0
492,5-FU,MK-5108,OVCAR3,10.01743934,2,1
493,5-FU,MK-5108,PA1,16.32481002,2,1
494,5-FU,MK-5108,RKO,-2.418031889,2,0
496,5-FU,MK-5108,SKMEL30,14.83857145,2,1
497,5-FU,MK-5108,SKMES1,-2.969522572,2,0
500,5-FU,MK-5108,SW837,-3.194708892,2,0
504,5-FU,MK-5108,UWB1289BRCA1,13.88178503,2,1
505,5-FU,MK-5108,VCAP,11.64974134,2,1
507,5-FU,MK-8669,A2058,32.33623166,0,1
508,5-FU,MK-8669,A2780,16.29531308,0,1
509,5-FU,MK-8669,A375,12.7627595,0,1
510,5-FU,MK-8669,A427,20.62786482,0,1
513,5-FU,MK-8669,DLD1,24.55178995,0,1
514,5-FU,MK-8669,EFM192B,20.51728696,0,1
515,5-FU,MK-8669,ES2,15.70508042,0,1
518,5-FU,MK-8669,HT29,11.81057599,0,1
519,5-FU,MK-8669,KPL1,11.18820987,0,1
520,5-FU,MK-8669,LNCAP,15.99409329,0,1
522,5-FU,MK-8669,MDAMB436,17.43632979,0,1
523,5-FU,MK-8669,MSTO,-34.43024988,0,0
524,5-FU,MK-8669,NCIH1650,15.85989462,0,1
525,5-FU,MK-8669,NCIH2122,10.30418191,0,1
526,5-FU,MK-8669,NCIH23,21.73781029,0,1
529,5-FU,MK-8669,OCUBM,23.65827923,0,1
532,5-FU,MK-8669,PA1,41.30121414,0,1
533,5-FU,MK-8669,RKO,23.25413422,0,1
534,5-FU,MK-8669,RPMI7951,27.33122745,0,1
535,5-FU,MK-8669,SKMEL30,28.19210471,0,1
537,5-FU,MK-8669,SKOV3,28.71514833,0,1
538,5-FU,MK-8669,SW620,12.13737781,0,1
539,5-FU,MK-8669,SW837,12.41659205,0,1
540,5-FU,MK-8669,T47D,24.17858199,0,1
541,5-FU,MK-8669,UACC62,12.12565179,0,1
542,5-FU,MK-8669,UWB1289,25.23796782,0,1
543,5-FU,MK-8669,UWB1289BRCA1,28.39504805,0,1
544,5-FU,MK-8669,VCAP,29.67190189,0,1
545,5-FU,MK-8669,ZR751,10.3250317,0,1
546,5-FU,MK-8776,A2058,23.522713,4,1
548,5-FU,MK-8776,A375,22.09733642,4,1
549,5-FU,MK-8776,A427,37.92676259,4,1
550,5-FU,MK-8776,CAOV3,57.10355598,4,1
554,5-FU,MK-8776,ES2,-10.66233849,4,0
555,5-FU,MK-8776,HCT116,14.95230707,4,1
557,5-FU,MK-8776,HT29,13.43154214,4,1
558,5-FU,MK-8776,KPL1,-1.208769645,4,0
561,5-FU,MK-8776,MDAMB436,43.35485062,4,1
562,5-FU,MK-8776,MSTO,-28.69135036,4,0
563,5-FU,MK-8776,NCIH1650,14.04089321,4,1
564,5-FU,MK-8776,NCIH2122,12.63847578,4,1
566,5-FU,MK-8776,NCIH460,24.84605685,4,1
567,5-FU,MK-8776,NCIH520,18.30590717,4,1
568,5-FU,MK-8776,OCUBM,58.84964574,4,1
570,5-FU,MK-8776,OVCAR3,10.10513174,4,1
572,5-FU,MK-8776,RKO,18.42285882,4,1
574,5-FU,MK-8776,SKMEL30,-81.44128366,4,0
575,5-FU,MK-8776,SKMES1,16.98490255,4,1
578,5-FU,MK-8776,SW837,-20.52658286,4,0
581,5-FU,MK-8776,UWB1289,-7.730167746,4,0
582,5-FU,MK-8776,UWB1289BRCA1,-11.15156386,4,0
583,5-FU,MK-8776,VCAP,10.86891474,4,1
584,5-FU,MK-8776,ZR751,-0.408307311,4,0
586,5-FU,PD325901,A2780,24.61014916,0,1
587,5-FU,PD325901,A375,-1.792872312,0,0
588,5-FU,PD325901,A427,16.51852763,0,1
589,5-FU,PD325901,CAOV3,-1.127802619,0,0
591,5-FU,PD325901,DLD1,18.4586259,0,1
592,5-FU,PD325901,EFM192B,-3.034894245,0,0
594,5-FU,PD325901,HCT116,18.32121168,0,1
597,5-FU,PD325901,KPL1,-6.345032217,0,0
599,5-FU,PD325901,LOVO,-6.245195086,0,0
601,5-FU,PD325901,MSTO,22.0330269,0,1
605,5-FU,PD325901,NCIH460,16.33218457,0,1
606,5-FU,PD325901,NCIH520,-1.142915464,0,0
607,5-FU,PD325901,OCUBM,16.91532055,0,1
608,5-FU,PD325901,OV90,-6.566990006,0,0
609,5-FU,PD325901,OVCAR3,24.68660319,0,1
613,5-FU,PD325901,SKMEL30,-144.4016546,0,0
614,5-FU,PD325901,SKMES1,-5.424553399,0,0
618,5-FU,PD325901,T47D,46.99657957,0,1
619,5-FU,PD325901,UACC62,-3.443232407,0,0
620,5-FU,PD325901,UWB1289,19.80827975,0,1
621,5-FU,PD325901,UWB1289BRCA1,18.94371759,0,1
622,5-FU,PD325901,VCAP,11.43502994,0,1
623,5-FU,PD325901,ZR751,-7.018474235,0,0
628,5-FU,SORAFENIB,CAOV3,-16.67220342,2,0
631,5-FU,SORAFENIB,EFM192B,-9.022149207,2,0
633,5-FU,SORAFENIB,HCT116,-1.955025391,2,0
635,5-FU,SORAFENIB,HT29,-3.551610833,2,0
636,5-FU,SORAFENIB,KPL1,-5.046283575,2,0
637,5-FU,SORAFENIB,LNCAP,-13.39034615,2,0
638,5-FU,SORAFENIB,LOVO,-13.81534377,2,0
639,5-FU,SORAFENIB,MDAMB436,-4.304317076,2,0
640,5-FU,SORAFENIB,MSTO,-13.50351384,2,0
641,5-FU,SORAFENIB,NCIH1650,-2.500149835,2,0
642,5-FU,SORAFENIB,NCIH2122,-3.768823231,2,0
643,5-FU,SORAFENIB,NCIH23,-1.286810998,2,0
644,5-FU,SORAFENIB,NCIH460,-0.895637539,2,0
648,5-FU,SORAFENIB,OVCAR3,-18.31547421,2,0
651,5-FU,SORAFENIB,RPMI7951,-5.041472651,2,0
654,5-FU,SORAFENIB,SKOV3,10.2363359,2,1
656,5-FU,SORAFENIB,SW837,-8.60896251,2,0
657,5-FU,SORAFENIB,T47D,-4.531377558,2,0
662,5-FU,SORAFENIB,ZR751,-11.36179266,2,0
668,5-FU,SUNITINIB,COLO320DM,14.82302426,3,1
669,5-FU,SUNITINIB,DLD1,10.90526109,3,1
670,5-FU,SUNITINIB,EFM192B,-3.19593666,3,0
671,5-FU,SUNITINIB,ES2,14.41382075,3,1
676,5-FU,SUNITINIB,LNCAP,-6.200837303,3,0
679,5-FU,SUNITINIB,MSTO,-19.19337264,3,0
688,5-FU,SUNITINIB,PA1,12.45625199,3,1
690,5-FU,SUNITINIB,RPMI7951,-1.343261089,3,0
692,5-FU,SUNITINIB,SKMES1,11.90261481,3,1
693,5-FU,SUNITINIB,SKOV3,18.2643848,3,1
695,5-FU,SUNITINIB,SW837,-4.901836837,3,0
699,5-FU,SUNITINIB,UWB1289BRCA1,11.79111113,3,1
700,5-FU,SUNITINIB,VCAP,12.48379896,3,1
703,5-FU,TEMOZOLOMIDE,A2780,-0.604352835,0,0
704,5-FU,TEMOZOLOMIDE,A375,-15.98333594,0,0
705,5-FU,TEMOZOLOMIDE,A427,18.36101941,0,1
706,5-FU,TEMOZOLOMIDE,CAOV3,-35.66063407,0,0
708,5-FU,TEMOZOLOMIDE,DLD1,-4.753422053,0,0
709,5-FU,TEMOZOLOMIDE,EFM192B,-39.7171613,0,0
711,5-FU,TEMOZOLOMIDE,HCT116,-15.66309184,0,0
712,5-FU,TEMOZOLOMIDE,HT144,-24.286518,0,0
713,5-FU,TEMOZOLOMIDE,HT29,-13.17812058,0,0
714,5-FU,TEMOZOLOMIDE,KPL1,-32.03551474,0,0
715,5-FU,TEMOZOLOMIDE,LNCAP,-16.14608633,0,0
716,5-FU,TEMOZOLOMIDE,LOVO,-17.96614029,0,0
718,5-FU,TEMOZOLOMIDE,MSTO,-8.452318032,0,0
719,5-FU,TEMOZOLOMIDE,NCIH1650,-16.13611503,0,0
720,5-FU,TEMOZOLOMIDE,NCIH2122,-4.976433836,0,0
721,5-FU,TEMOZOLOMIDE,NCIH23,-22.41858189,0,0
722,5-FU,TEMOZOLOMIDE,NCIH460,-23.41105381,0,0
724,5-FU,TEMOZOLOMIDE,OCUBM,-15.12140115,0,0
725,5-FU,TEMOZOLOMIDE,OV90,-8.734577697,0,0
728,5-FU,TEMOZOLOMIDE,RKO,-9.323430376,0,0
730,5-FU,TEMOZOLOMIDE,SKMEL30,-55.9657771,0,0
732,5-FU,TEMOZOLOMIDE,SKOV3,-4.021491118,0,0
734,5-FU,TEMOZOLOMIDE,SW837,-44.6178968,0,0
735,5-FU,TEMOZOLOMIDE,T47D,-31.48916586,0,0
736,5-FU,TEMOZOLOMIDE,UACC62,-11.96862443,0,0
737,5-FU,TEMOZOLOMIDE,UWB1289,17.2143035,0,1
738,5-FU,TEMOZOLOMIDE,UWB1289BRCA1,15.83675241,0,1
739,5-FU,TEMOZOLOMIDE,VCAP,-2.729516379,0,0
740,5-FU,TEMOZOLOMIDE,ZR751,-51.98862044,0,0
741,5-FU,ZOLINZA,A2058,-5.508119589,2,0
