,drug1,drug2,cell,score,label,SynClass
97,5-FU,DASATINIB,NCIH2122,-31.1947196,0,0
99,5-FU,DASATINIB,NCIH460,21.6687261,1,1
100,5-FU,DASATINIB,NCIH520,42.73505144,1,1
104,5-FU,DASATINIB,SW620,30.44463084,1,1
108,5-FU,DASATINIB,VCAP,21.45572644,1,1
112,5-FU,DINACICLIB,CAOV3,-14.34742589,0,0
116,5-FU,DINACICLIB,LOVO,-11.87695993,0,0
123,5-FU,DINACICLIB,SKMEL30,-96.61714003,0,0
125,5-FU,DINACICLIB,SKOV3,-13.89910152,0,0
127,5-FU,DINACICLIB,SW837,-19.57332293,0,0
130,5-FU,DINACICLIB,ZR751,-13.58239014,0,0
142,5-FU,ERLOTINIB,MSTO,-45.89376066,0,0
143,5-FU,ERLOTINIB,NCIH2122,24.45497683,1,1
145,5-FU,ERLOTINIB,OV90,-11.04004585,0,0
146,5-FU,ERLOTINIB,RKO,20.98757258,1,1
149,5-FU,ERLOTINIB,SKMES1,21.28942476,1,1
154,5-FU,ERLOTINIB,VCAP,24.41379314,1,1
155,5-FU,ERLOTINIB,ZR751,22.8306176,1,1
156,5-FU,GELDANAMYCIN,CAOV3,-12.98670671,0,0
166,5-FU,GELDANAMYCIN,SKMEL30,-80.63896867,0,0
169,5-FU,GELDANAMYCIN,SW837,-10.01418099,0,0
170,5-FU,GELDANAMYCIN,T47D,30.67999441,1,1
173,5-FU,GELDANAMYCIN,ZR751,-15.00928456,0,0
175,5-FU,L778123,CAOV3,-11.24456132,0,0
183,5-FU,L778123,SKMEL30,-57.88453337,0,0
185,5-FU,L778123,T47D,21.15875733,1,1
190,5-FU,LAPATINIB,LNCAP,-16.37649722,0,0
192,5-FU,LAPATINIB,MSTO,-55.47026432,0,0
206,5-FU,MK-2206,CAOV3,41.06914178,1,1
208,5-FU,MK-2206,KPL1,26.86477535,1,1
210,5-FU,MK-2206,MSTO,-35.31198822,0,0
215,5-FU,MK-2206,RKO,21.99868299,1,1
227,5-FU,MK-4827,LNCAP,-24.4814919,0,0
228,5-FU,MK-4827,LOVO,-14.5737162,0,0
229,5-FU,MK-4827,MSTO,-54.84820211,0,0
231,5-FU,MK-4827,NCIH23,-10.52634233,0,0
233,5-FU,MK-4827,OV90,-11.5759633,0,0
236,5-FU,MK-4827,SW837,-12.72451513,0,0
239,5-FU,MK-5108,CAOV3,-13.04134069,0,0
242,5-FU,MK-5108,LNCAP,-20.6434715,0,0
243,5-FU,MK-5108,MSTO,-34.44593587,0,0
253,5-FU,MK-8669,A2058,32.33623166,1,1
256,5-FU,MK-8669,A427,20.62786482,1,1
262,5-FU,MK-8669,MSTO,-34.43024988,0,0
265,5-FU,MK-8669,NCIH23,21.73781029,1,1
266,5-FU,MK-8669,RKO,23.25413422,1,1
267,5-FU,MK-8669,RPMI7951,27.33122745,1,1
268,5-FU,MK-8669,SKMEL30,28.19210471,1,1
269,5-FU,MK-8669,SKOV3,28.71514833,1,1
272,5-FU,MK-8669,T47D,24.17858199,1,1
274,5-FU,MK-8669,VCAP,29.67190189,1,1
276,5-FU,MK-8776,A2058,24.27497218,1,1
277,5-FU,MK-8776,A2058,24.27497218,1,1
278,5-FU,MK-8776,A375,21.58284028,1,1
279,5-FU,MK-8776,A375,21.58284028,1,1
280,5-FU,MK-8776,A427,25.93455259,1,1
281,5-FU,MK-8776,A427,25.93455259,1,1
282,5-FU,MK-8776,CAOV3,58.11878659,1,1
283,5-FU,MK-8776,CAOV3,58.11878659,1,1
289,5-FU,MK-8776,MDAMB436,43.35485062,1,1
290,5-FU,MK-8776,MSTO,-28.69135036,0,0
295,5-FU,MK-8776,NCIH460,24.84605685,1,1
298,5-FU,MK-8776,SKMEL30,-81.44128366,0,0
300,5-FU,MK-8776,SW837,-20.52658286,0,0
303,5-FU,PD325901,A2780,24.61014916,1,1
310,5-FU,PD325901,MSTO,22.0330269,1,1
314,5-FU,PD325901,SKMEL30,-144.4016546,0,0
316,5-FU,PD325901,T47D,46.99657957,1,1
320,5-FU,SORAFENIB,CAOV3,-16.67220342,0,0
324,5-FU,SORAFENIB,LNCAP,-13.39034615,0,0
325,5-FU,SORAFENIB,LOVO,-13.81534377,0,0
327,5-FU,SORAFENIB,MSTO,-13.50351384,0,0
336,5-FU,SORAFENIB,ZR751,-11.36179266,0,0
339,5-FU,SUNITINIB,MSTO,-19.19337264,0,0
346,5-FU,TEMOZOLOMIDE,A375,-15.98333594,0,0
348,5-FU,TEMOZOLOMIDE,CAOV3,-35.66063407,0,0
349,5-FU,TEMOZOLOMIDE,HCT116,-15.66309184,0,0
350,5-FU,TEMOZOLOMIDE,HT144,-24.286518,0,0
351,5-FU,TEMOZOLOMIDE,HT29,-13.17812058,0,0
352,5-FU,TEMOZOLOMIDE,KPL1,-32.03551474,0,0
353,5-FU,TEMOZOLOMIDE,LNCAP,-16.14608633,0,0
354,5-FU,TEMOZOLOMIDE,LOVO,-17.96614029,0,0
356,5-FU,TEMOZOLOMIDE,NCIH1650,-16.13611503,0,0
358,5-FU,TEMOZOLOMIDE,NCIH23,-22.41858189,0,0
359,5-FU,TEMOZOLOMIDE,NCIH460,-23.41105381,0,0
362,5-FU,TEMOZOLOMIDE,SKMEL30,-55.9657771,0,0
364,5-FU,TEMOZOLOMIDE,SW837,-44.6178968,0,0
365,5-FU,TEMOZOLOMIDE,T47D,-31.48916586,0,0
366,5-FU,TEMOZOLOMIDE,UACC62,-11.96862443,0,0
368,5-FU,TEMOZOLOMIDE,ZR751,-51.98862044,0,0
371,5-FU,ZOLINZA,A427,-31.94692955,0,0
380,5-FU,ZOLINZA,NCIH23,-15.10567636,0,0
387,5-FU,ZOLINZA,SW620,-17.22800516,0,0
389,5-FU,ZOLINZA,VCAP,22.99565591,1,1
390,5-FU,ZOLINZA,ZR751,-20.67751276,0,0
391,ABT-888,BEZ-235,A2058,24.07097148,1,1
392,ABT-888,BEZ-235,A2780,29.43971431,1,1
393,ABT-888,BEZ-235,A375,26.77702751,1,1
395,ABT-888,BEZ-235,CAOV3,48.3199691,1,1
399,ABT-888,BEZ-235,HT29,24.14577087,1,1
400,ABT-888,BEZ-235,KPL1,29.12456296,1,1
401,ABT-888,BEZ-235,LNCAP,78.70408281,1,1
403,ABT-888,BEZ-235,MDAMB436,24.11737313,1,1
404,ABT-888,BEZ-235,MSTO,42.00615065,1,1
408,ABT-888,BEZ-235,NCIH520,24.98075461,1,1
411,ABT-888,BEZ-235,RPMI7951,27.95688569,1,1
412,ABT-888,BEZ-235,SKMEL30,29.52276092,1,1
415,ABT-888,BEZ-235,SW837,23.28959911,1,1
416,ABT-888,BEZ-235,T47D,117.0012793,1,1
419,ABT-888,BEZ-235,ZR751,27.42592944,1,1
423,ABT-888,DINACICLIB,LNCAP,44.93017733,1,1
430,ABT-888,DINACICLIB,T47D,-24.15595065,0,0
433,ABT-888,GELDANAMYCIN,A2058,22.66972082,1,1
437,ABT-888,GELDANAMYCIN,HCT116,22.97216302,1,1
440,ABT-888,GELDANAMYCIN,LNCAP,26.08846407,1,1
449,ABT-888,GELDANAMYCIN,RKO,33.83147768,1,1
450,ABT-888,GELDANAMYCIN,SKMEL30,30.34189343,1,1
451,ABT-888,GELDANAMYCIN,SKOV3,-10.74656256,0,0
452,ABT-888,GELDANAMYCIN,SW620,-15.0026455,0,0
453,ABT-888,GELDANAMYCIN,T47D,-27.25381749,0,0
455,ABT-888,GELDANAMYCIN,ZR751,-17.08015794,0,0
456,ABT-888,MK-8669,A2058,24.76000602,1,1
457,ABT-888,MK-8669,CAOV3,21.27725009,1,1
461,ABT-888,MK-8669,KPL1,41.59951047,1,1
463,ABT-888,MK-8669,MSTO,75.5280528,1,1
471,ABT-888,MK-8669,SW837,-16.01122021,0,0
477,ABT-888,MK-8776,ES2,-17.17202362,0,0
478,ABT-888,MK-8776,HT144,-51.21988037,0,0
480,ABT-888,MK-8776,LNCAP,-40.5994196,0,0
491,ABT-888,MK-8776,SW837,-85.53233701,0,0
493,ABT-888,MK-8776,ZR751,-32.47762672,0,0
494,ABT-888,SN-38,A2058,37.19755244,1,1
495,ABT-888,SN-38,A2780,27.44316256,1,1
496,ABT-888,SN-38,A375,29.45915958,1,1
497,ABT-888,SN-38,CAOV3,41.82261363,1,1
498,ABT-888,SN-38,HCT116,23.42591491,1,1
499,ABT-888,SN-38,LNCAP,28.68890188,1,1
502,ABT-888,SN-38,MSTO,21.46794278,1,1
503,ABT-888,SN-38,NCIH2122,21.39044581,1,1
505,ABT-888,SN-38,NCIH460,22.60303623,1,1
508,ABT-888,SN-38,RKO,30.53249026,1,1
509,ABT-888,SN-38,RPMI7951,23.87063157,1,1
510,ABT-888,SN-38,SKMEL30,29.65052395,1,1
511,ABT-888,SN-38,SKMES1,20.08675206,1,1
513,ABT-888,SN-38,T47D,39.83231175,1,1
514,ABT-888,SN-38,UACC62,24.96544956,1,1
516,ABT-888,SN-38,ZR751,-12.24364896,0,0
517,ABT-888,SORAFENIB,A2058,36.19616521,1,1
529,ABT-888,SORAFENIB,RKO,24.38215762,1,1
539,ABT-888,TOPOTECAN,A375,-30.05242132,0,0
541,ABT-888,TOPOTECAN,ES2,-15.16316218,0,0
543,ABT-888,TOPOTECAN,HT144,-12.71817083,0,0
544,ABT-888,TOPOTECAN,HT29,-13.74201482,0,0
546,ABT-888,TOPOTECAN,LOVO,-20.57774761,0,0
548,ABT-888,TOPOTECAN,NCIH1650,-16.28525243,0,0
550,ABT-888,TOPOTECAN,NCIH23,-13.17469848,0,0
551,ABT-888,TOPOTECAN,NCIH460,-35.55824357,0,0
554,ABT-888,TOPOTECAN,RKO,-12.44712596,0,0
557,ABT-888,TOPOTECAN,SKMES1,-17.67508406,0,0
559,ABT-888,TOPOTECAN,SW837,-13.77537319,0,0
562,ABT-888,TOPOTECAN,VCAP,-16.73042364,0,0
568,AZD1775,ABT-888,LNCAP,-11.56591243,0,0
579,AZD1775,ABT-888,SW837,-10.75733812,0,0
580,AZD1775,ABT-888,T47D,-10.32331212,0,0
581,AZD1775,ABT-888,VCAP,-10.38201033,0,0
582,AZD1775,ABT-888,ZR751,-11.19139976,0,0
583,AZD1775,BEZ-235,A2058,22.52066544,1,1
584,AZD1775,BEZ-235,A2058,22.52066544,0,1
586,AZD1775,BEZ-235,A375,62.98332484,1,1
587,AZD1775,BEZ-235,A375,62.98332484,1,1
588,AZD1775,BEZ-235,A427,27.33669558,1,1
589,AZD1775,BEZ-235,CAOV3,20.03637879,1,1
590,AZD1775,BEZ-235,CAOV3,20.03637879,1,1
591,AZD1775,BEZ-235,ES2,22.48587068,1,1
592,AZD1775,BEZ-235,HCT116,38.18009264,1,1
593,AZD1775,BEZ-235,HCT116,38.18009264,1,1
594,AZD1775,BEZ-235,HT144,30.76397327,1,1
595,AZD1775,BEZ-235,HT29,25.98448167,1,1
596,AZD1775,BEZ-235,KPL1,21.91627509,1,1
597,AZD1775,BEZ-235,LNCAP,61.89051853,1,1
600,AZD1775,BEZ-235,MDAMB436,27.5112821,1,1
601,AZD1775,BEZ-235,MSTO,24.1922954,1,1
602,AZD1775,BEZ-235,NCIH1650,27.77110381,1,1
605,AZD1775,BEZ-235,NCIH460,38.21325157,1,1
606,AZD1775,BEZ-235,NCIH520,28.82820786,1,1
608,AZD1775,BEZ-235,RKO,31.73685611,1,1
611,AZD1775,BEZ-235,SKMES1,26.5938059,1,1
612,AZD1775,BEZ-235,SKOV3,25.46992744,1,1
615,AZD1775,BEZ-235,SW837,23.61253202,1,1
616,AZD1775,BEZ-235,T47D,93.72819505,1,1
617,AZD1775,BEZ-235,UACC62,23.04106128,1,1
619,AZD1775,BORTEZOMIB,A2780,-17.55948042,0,0
620,AZD1775,BORTEZOMIB,A427,-18.34661485,0,0
621,AZD1775,BORTEZOMIB,CAOV3,-20.03555451,0,0
622,AZD1775,BORTEZOMIB,ES2,-18.64255603,0,0
625,AZD1775,BORTEZOMIB,HT29,-18.92954483,0,0
627,AZD1775,BORTEZOMIB,LNCAP,-11.56046415,0,0
630,AZD1775,BORTEZOMIB,MSTO,36.59996851,1,1
631,AZD1775,BORTEZOMIB,NCIH1650,-19.84631947,0,0
632,AZD1775,BORTEZOMIB,NCIH2122,-16.26938113,0,0
633,AZD1775,BORTEZOMIB,NCIH23,-18.820814,0,0
634,AZD1775,BORTEZOMIB,NCIH520,-18.59569714,0,0
635,AZD1775,BORTEZOMIB,OV90,-11.91326085,0,0
636,AZD1775,BORTEZOMIB,RKO,-12.67666435,0,0
637,AZD1775,BORTEZOMIB,RPMI7951,-17.90369234,0,0
638,AZD1775,BORTEZOMIB,SKMEL30,-15.70918499,0,0
639,AZD1775,BORTEZOMIB,SKMES1,-18.74799388,0,0
641,AZD1775,BORTEZOMIB,T47D,-16.28306878,0,0
643,AZD1775,BORTEZOMIB,VCAP,-24.43246657,0,0
644,AZD1775,BORTEZOMIB,ZR751,-11.21496757,0,0
645,AZD1775,DASATINIB,A2058,54.7695814,1,1
646,AZD1775,DASATINIB,A2058,54.7695814,1,1
647,AZD1775,DASATINIB,A2780,63.3161055,1,1
648,AZD1775,DASATINIB,A375,65.96928795,1,1
649,AZD1775,DASATINIB,A375,65.96928795,1,1
650,AZD1775,DASATINIB,A427,43.27366132,1,1
651,AZD1775,DASATINIB,A427,43.27366132,1,1
654,AZD1775,DASATINIB,ES2,27.67755693,1,1
655,AZD1775,DASATINIB,ES2,27.67755693,1,1
656,AZD1775,DASATINIB,HCT116,24.30600247,1,1
657,AZD1775,DASATINIB,HCT116,24.30600247,1,1
658,AZD1775,DASATINIB,HT29,24.24402391,1,1
659,AZD1775,DASATINIB,HT29,24.24402391,1,1
660,AZD1775,DASATINIB,KPL1,35.72886618,1,1
661,AZD1775,DASATINIB,LNCAP,24.71473218,1,1
662,AZD1775,DASATINIB,LOVO,28.84528363,1,1
663,AZD1775,DASATINIB,LOVO,28.84528363,1,1
664,AZD1775,DASATINIB,MDAMB436,39.31007727,1,1
665,AZD1775,DASATINIB,MSTO,56.50941313,1,1
666,AZD1775,DASATINIB,NCIH1650,41.56942014,1,1
667,AZD1775,DASATINIB,NCIH1650,41.56942014,1,1
670,AZD1775,DASATINIB,NCIH23,33.95577223,1,1
671,AZD1775,DASATINIB,NCIH23,33.95577223,1,1
672,AZD1775,DASATINIB,NCIH460,24.67543309,1,1
673,AZD1775,DASATINIB,NCIH520,42.09049498,1,1
674,AZD1775,DASATINIB,OV90,25.65497092,1,1
675,AZD1775,DASATINIB,RKO,41.91153524,1,1
680,AZD1775,DASATINIB,SW620,63.86497013,1,1
681,AZD1775,DASATINIB,SW620,63.86497013,1,1
682,AZD1775,DASATINIB,SW837,37.53767894,1,1
684,AZD1775,DASATINIB,UACC62,29.47712099,1,1
685,AZD1775,DASATINIB,VCAP,20.51484393,1,1
686,AZD1775,DASATINIB,ZR751,-23.97165911,0,0
687,AZD1775,DINACICLIB,A2058,-12.36585978,0,0
689,AZD1775,DINACICLIB,A427,-11.37380434,0,0
690,AZD1775,DINACICLIB,CAOV3,-21.76145014,0,0
697,AZD1775,DINACICLIB,LOVO,-15.35342803,0,0
701,AZD1775,DINACICLIB,NCIH2122,-11.4558726,0,0
702,AZD1775,DINACICLIB,NCIH23,-24.27417292,0,0
705,AZD1775,DINACICLIB,OV90,-17.31290487,0,0
708,AZD1775,DINACICLIB,SKMES1,-18.11300988,0,0
713,AZD1775,DINACICLIB,VCAP,-27.30666551,0,0
714,AZD1775,DINACICLIB,ZR751,-14.95849747,0,0
717,AZD1775,ERLOTINIB,CAOV3,23.63531282,1,1
732,AZD1775,ERLOTINIB,SW837,26.33971849,1,1
742,AZD1775,GELDANAMYCIN,MSTO,-14.8467137,0,0
744,AZD1775,GELDANAMYCIN,NCIH2122,-11.43914148,0,0
745,AZD1775,GELDANAMYCIN,NCIH23,-19.31689367,0,0
748,AZD1775,GELDANAMYCIN,OV90,-16.49296861,0,0
749,AZD1775,GELDANAMYCIN,RPMI7951,-10.08765428,0,0
755,AZD1775,GELDANAMYCIN,T47D,-15.83642827,0,0
757,AZD1775,GELDANAMYCIN,VCAP,-20.01642439,0,0
758,AZD1775,GELDANAMYCIN,ZR751,-12.46712116,0,0
760,AZD1775,LAPATINIB,A375,21.2157936,1,1
762,AZD1775,LAPATINIB,CAOV3,29.90778381,1,1
767,AZD1775,LAPATINIB,LNCAP,-12.22936762,0,0
768,AZD1775,LAPATINIB,LOVO,23.42830874,1,1
777,AZD1775,LAPATINIB,SW837,33.69723988,1,1
778,AZD1775,LAPATINIB,UACC62,22.17051952,1,1
780,AZD1775,LAPATINIB,ZR751,-12.03149739,0,0
782,AZD1775,MK-2206,A2780,21.08159858,1,1
783,AZD1775,MK-2206,A375,22.7261358,1,1
785,AZD1775,MK-2206,CAOV3,23.94126471,1,1
788,AZD1775,MK-2206,KPL1,27.62449166,1,1
799,AZD1775,MK-2206,SKMES1,29.43976676,1,1
800,AZD1775,MK-2206,SKOV3,28.77331594,1,1
802,AZD1775,MK-2206,SW837,20.6844303,1,1
806,AZD1775,MK-4827,A2058,32.76872947,1,1
807,AZD1775,MK-4827,A375,20.43024601,1,1
813,AZD1775,MK-4827,NCIH1650,22.48071637,1,1
814,AZD1775,MK-4827,NCIH2122,25.08213802,1,1
823,AZD1775,MK-4827,UACC62,21.79819028,1,1
830,AZD1775,MK-5108,NCIH2122,-15.78427287,0,0
834,AZD1775,MK-5108,SKOV3,23.42185222,1,1
838,AZD1775,MK-8669,A2058,38.93836298,1,1
839,AZD1775,MK-8669,A2780,26.15576468,1,1
840,AZD1775,MK-8669,A375,42.60021913,1,1
841,AZD1775,MK-8669,A427,28.16870642,1,1
842,AZD1775,MK-8669,CAOV3,21.90470536,1,1
843,AZD1775,MK-8669,ES2,30.71813145,1,1
844,AZD1775,MK-8669,HT144,20.25239339,1,1
845,AZD1775,MK-8669,HT29,22.90490363,1,1
846,AZD1775,MK-8669,KPL1,32.90502518,1,1
847,AZD1775,MK-8669,LNCAP,24.31792545,1,1
849,AZD1775,MK-8669,MDAMB436,20.28457326,1,1
850,AZD1775,MK-8669,MSTO,27.456432,1,1
851,AZD1775,MK-8669,NCIH1650,36.96883119,1,1
853,AZD1775,MK-8669,NCIH23,20.04664176,1,1
857,AZD1775,MK-8669,RKO,29.01960223,1,1
858,AZD1775,MK-8669,RPMI7951,33.03589298,1,1
859,AZD1775,MK-8669,SKMEL30,29.84403079,1,1
860,AZD1775,MK-8669,SKMES1,20.83918079,1,1
861,AZD1775,MK-8669,SKOV3,46.2955311,1,1
863,AZD1775,MK-8669,SW837,23.9856736,1,1
864,AZD1775,MK-8669,T47D,28.9104439,1,1
865,AZD1775,MK-8669,UACC62,31.87602611,1,1
867,AZD1775,MK-8776,A2058,80.17940179,1,1
868,AZD1775,MK-8776,A2058,80.17940179,1,1
869,AZD1775,MK-8776,A2780,54.0791044,1,1
870,AZD1775,MK-8776,A375,71.75917754,1,1
871,AZD1775,MK-8776,A375,71.75917754,1,1
872,AZD1775,MK-8776,A427,70.6294923,1,1
873,AZD1775,MK-8776,A427,70.6294923,1,1
876,AZD1775,MK-8776,ES2,54.66785758,1,1
877,AZD1775,MK-8776,ES2,54.66785758,1,1
878,AZD1775,MK-8776,HCT116,44.04899659,1,1
879,AZD1775,MK-8776,HCT116,44.04899659,1,1
880,AZD1775,MK-8776,HT144,45.71018599,1,1
881,AZD1775,MK-8776,HT29,59.40748145,1,1
882,AZD1775,MK-8776,HT29,59.40748145,1,1
885,AZD1775,MK-8776,LOVO,34.0180465,1,1
886,AZD1775,MK-8776,LOVO,34.0180465,1,1
887,AZD1775,MK-8776,MDAMB436,47.22748984,1,1
888,AZD1775,MK-8776,MSTO,42.8606636,1,1
889,AZD1775,MK-8776,NCIH1650,50.61714501,1,1
890,AZD1775,MK-8776,NCIH1650,50.61714501,1,1
891,AZD1775,MK-8776,NCIH2122,30.90669463,1,1
892,AZD1775,MK-8776,NCIH2122,30.90669463,1,1
893,AZD1775,MK-8776,NCIH23,43.90047467,1,1
894,AZD1775,MK-8776,NCIH23,43.90047467,1,1
895,AZD1775,MK-8776,NCIH460,33.94350197,1,1
896,AZD1775,MK-8776,NCIH520,40.75548759,1,1
897,AZD1775,MK-8776,OV90,32.25263687,1,1
898,AZD1775,MK-8776,RKO,58.45222688,1,1
899,AZD1775,MK-8776,RPMI7951,32.4372578,1,1
900,AZD1775,MK-8776,SKMEL30,64.51711716,1,1
901,AZD1775,MK-8776,SKOV3,63.47893218,1,1
904,AZD1775,MK-8776,SW837,28.51830428,1,1
905,AZD1775,MK-8776,UACC62,43.18698553,1,1
906,AZD1775,MK-8776,VCAP,78.22509908,1,1
907,AZD1775,MK-8776,ZR751,36.01811775,1,1
908,AZD1775,PD325901,A2780,28.30699896,1,1
910,AZD1775,PD325901,A427,21.85626393,1,1
911,AZD1775,PD325901,CAOV3,21.00331807,1,1
914,AZD1775,PD325901,HT144,22.54632447,1,1
916,AZD1775,PD325901,LNCAP,-22.34432496,0,0
921,AZD1775,PD325901,RKO,24.39642072,1,1
931,AZD1775,SN-38,NCIH1650,21.22512843,1,1
932,AZD1775,SN-38,NCIH2122,-80.17199576,0,0
936,AZD1775,SN-38,RKO,-11.98206191,0,0
941,AZD1775,SN-38,T47D,-18.69047823,0,0
954,AZD1775,SORAFENIB,NCIH23,-10.55821782,0,0
961,AZD1775,SORAFENIB,VCAP,-20.82927107,0,0
962,AZD1775,SORAFENIB,ZR751,-15.88240417,0,0
968,AZD1775,TOPOTECAN,LNCAP,-94.59775759,0,0
970,AZD1775,TOPOTECAN,NCIH460,-17.06965137,0,0
975,AZD1775,TOPOTECAN,SKMES1,-11.42575829,0,0
985,BEZ-235,DINACICLIB,LNCAP,23.10043252,1,1
995,BEZ-235,DINACICLIB,SKOV3,-15.47790974,0,0
997,BEZ-235,DINACICLIB,T47D,90.99144315,1,1
1001,BEZ-235,MK-8776,A2058,65.61573897,1,1
1002,BEZ-235,MK-8776,A2780,29.54217132,1,1
1003,BEZ-235,MK-8776,A375,84.87796409,1,1
1004,BEZ-235,MK-8776,A427,36.46922909,1,1
1005,BEZ-235,MK-8776,CAOV3,37.37857369,1,1
1006,BEZ-235,MK-8776,ES2,43.08752858,1,1
1007,BEZ-235,MK-8776,HCT116,24.48141098,1,1
1008,BEZ-235,MK-8776,HT144,-140.3657077,0,0
1009,BEZ-235,MK-8776,HT29,29.98637422,1,1
1011,BEZ-235,MK-8776,LNCAP,-109.2773148,0,0
1012,BEZ-235,MK-8776,LOVO,22.42661342,1,1
1013,BEZ-235,MK-8776,MDAMB436,36.99710833,1,1
1014,BEZ-235,MK-8776,MSTO,23.47580691,1,1
1018,BEZ-235,MK-8776,NCIH460,41.27199381,1,1
1019,BEZ-235,MK-8776,NCIH520,22.6156485,1,1
1021,BEZ-235,MK-8776,RKO,67.46701741,1,1
1022,BEZ-235,MK-8776,SKMEL30,39.1988903,1,1
1025,BEZ-235,MK-8776,SW837,-166.377562,0,0
1026,BEZ-235,MK-8776,T47D,103.9669876,1,1
1027,BEZ-235,MK-8776,UACC62,25.67113205,1,1
1028,BEZ-235,MK-8776,VCAP,27.20109148,1,1
1031,BEZ-235,SN-38,A375,29.91150099,1,1
1034,BEZ-235,SN-38,HT144,28.44695134,1,1
1036,BEZ-235,SN-38,KPL1,30.14680216,1,1
1037,BEZ-235,SN-38,LNCAP,82.50811929,1,1
1039,BEZ-235,SN-38,MDAMB436,20.69512266,1,1
1040,BEZ-235,SN-38,MSTO,22.36229625,1,1
1044,BEZ-235,SN-38,NCIH460,39.22686474,1,1
1045,BEZ-235,SN-38,NCIH520,23.76332807,1,1
1048,BEZ-235,SN-38,SKMEL30,22.03630487,1,1
1049,BEZ-235,SN-38,SKMES1,24.81227003,1,1
1051,BEZ-235,SN-38,T47D,33.15341607,1,1
1053,BEZ-235,SN-38,VCAP,20.2200498,1,1
1054,BEZ-235,SN-38,ZR751,23.48443944,1,1
1055,BEZ-235,SORAFENIB,A427,20.93287603,1,1
1057,BEZ-235,SORAFENIB,HCT116,22.02832984,1,1
1060,BEZ-235,SORAFENIB,LNCAP,22.33933886,1,1
1068,BEZ-235,SORAFENIB,T47D,36.98789056,1,1
1073,BORTEZOMIB,ABT-888,CAOV3,28.91084263,1,1
1076,BORTEZOMIB,ABT-888,HT29,-15.42171027,0,0
1079,BORTEZOMIB,ABT-888,NCIH1650,-11.33553539,0,0
1082,BORTEZOMIB,ABT-888,NCIH520,-21.12397099,0,0
1085,BORTEZOMIB,ABT-888,SW837,-11.22651581,0,0
1086,BORTEZOMIB,ABT-888,T47D,-18.76073137,0,0
1088,BORTEZOMIB,ABT-888,ZR751,-21.03920298,0,0
1089,BORTEZOMIB,BEZ-235,A375,20.49768574,1,1
1094,BORTEZOMIB,BEZ-235,LNCAP,71.13581489,1,1
1095,BORTEZOMIB,BEZ-235,LOVO,21.58994155,1,1
1097,BORTEZOMIB,BEZ-235,MSTO,72.65026596,1,1
1098,BORTEZOMIB,BEZ-235,NCIH1650,-11.10806125,0,0
1100,BORTEZOMIB,BEZ-235,NCIH460,21.67089907,1,1
1101,BORTEZOMIB,BEZ-235,NCIH520,-20.11544403,0,0
1107,BORTEZOMIB,BEZ-235,SW837,27.78943825,1,1
1108,BORTEZOMIB,BEZ-235,T47D,87.02122222,1,1
1112,BORTEZOMIB,DASATINIB,A2058,21.6596544,1,1
1113,BORTEZOMIB,DASATINIB,A2780,27.35302788,1,1
1114,BORTEZOMIB,DASATINIB,A375,24.4102755,1,1
1118,BORTEZOMIB,DASATINIB,HT144,-13.58574463,0,0
1120,BORTEZOMIB,DASATINIB,KPL1,28.20252476,1,1
