,drug1,drug2,cell,synergy,fold,SynClass
252,5-FU,ERLOTINIB,NCIH2122,24.45497683,3,1
256,5-FU,ERLOTINIB,OCUBM,28.14443856,3,1
257,5-FU,ERLOTINIB,OV90,-11.04004585,3,0
258,5-FU,ERLOTINIB,OVCAR3,29.20125585,3,1
260,5-FU,ERLOTINIB,RKO,20.98757258,3,1
263,5-FU,ERLOTINIB,SKMES1,21.28942476,3,1
270,5-FU,ERLOTINIB,UWB1289BRCA1,22.19123604,3,1
271,5-FU,ERLOTINIB,VCAP,24.41379314,3,1
272,5-FU,ERLOTINIB,ZR751,22.8306176,3,1
277,5-FU,GELDANAMYCIN,CAOV3,-12.98670671,4,0
301,5-FU,GELDANAMYCIN,SKMEL30,-80.63896867,4,0
305,5-FU,GELDANAMYCIN,SW837,-10.01418099,4,0
306,5-FU,GELDANAMYCIN,T47D,30.67999441,4,1
311,5-FU,GELDANAMYCIN,ZR751,-15.00928456,4,0
316,5-FU,L778123,CAOV3,-11.24456132,1,0
340,5-FU,L778123,SKMEL30,-57.88453337,1,0
345,5-FU,L778123,T47D,21.15875733,1,1
364,5-FU,LAPATINIB,LNCAP,-16.37649722,1,0
367,5-FU,LAPATINIB,MSTO,-55.47026432,1,0
394,5-FU,MK-2206,CAOV3,41.06914178,2,1
395,5-FU,MK-2206,COLO320DM,23.48420717,2,1
402,5-FU,MK-2206,KPL1,26.86477535,2,1
406,5-FU,MK-2206,MSTO,-35.31198822,2,0
415,5-FU,MK-2206,PA1,22.84385673,2,1
416,5-FU,MK-2206,RKO,21.99868299,2,1
425,5-FU,MK-2206,UWB1289,20.75862339,2,1
426,5-FU,MK-2206,UWB1289BRCA1,21.70836662,2,1
442,5-FU,MK-4827,LNCAP,-24.4814919,3,0
443,5-FU,MK-4827,LOVO,-14.5737162,3,0
445,5-FU,MK-4827,MSTO,-54.84820211,3,0
448,5-FU,MK-4827,NCIH23,-10.52634233,3,0
452,5-FU,MK-4827,OV90,-11.5759633,3,0
461,5-FU,MK-4827,SW837,-12.72451513,3,0
472,5-FU,MK-5108,CAOV3,-13.04134069,2,0
481,5-FU,MK-5108,LNCAP,-20.6434715,2,0
484,5-FU,MK-5108,MSTO,-34.44593587,2,0
507,5-FU,MK-8669,A2058,32.33623166,0,1
510,5-FU,MK-8669,A427,20.62786482,0,1
513,5-FU,MK-8669,DLD1,24.55178995,0,1
514,5-FU,MK-8669,EFM192B,20.51728696,0,1
523,5-FU,MK-8669,MSTO,-34.43024988,0,0
526,5-FU,MK-8669,NCIH23,21.73781029,0,1
529,5-FU,MK-8669,OCUBM,23.65827923,0,1
532,5-FU,MK-8669,PA1,41.30121414,0,1
533,5-FU,MK-8669,RKO,23.25413422,0,1
534,5-FU,MK-8669,RPMI7951,27.33122745,0,1
535,5-FU,MK-8669,SKMEL30,28.19210471,0,1
537,5-FU,MK-8669,SKOV3,28.71514833,0,1
540,5-FU,MK-8669,T47D,24.17858199,0,1
542,5-FU,MK-8669,UWB1289,25.23796782,0,1
543,5-FU,MK-8669,UWB1289BRCA1,28.39504805,0,1
544,5-FU,MK-8669,VCAP,29.67190189,0,1
546,5-FU,MK-8776,A2058,23.522713,4,1
548,5-FU,MK-8776,A375,22.09733642,4,1
549,5-FU,MK-8776,A427,37.92676259,4,1
550,5-FU,MK-8776,CAOV3,57.10355598,4,1
554,5-FU,MK-8776,ES2,-10.66233849,4,0
561,5-FU,MK-8776,MDAMB436,43.35485062,4,1
562,5-FU,MK-8776,MSTO,-28.69135036,4,0
566,5-FU,MK-8776,NCIH460,24.84605685,4,1
568,5-FU,MK-8776,OCUBM,58.84964574,4,1
574,5-FU,MK-8776,SKMEL30,-81.44128366,4,0
578,5-FU,MK-8776,SW837,-20.52658286,4,0
582,5-FU,MK-8776,UWB1289BRCA1,-11.15156386,4,0
586,5-FU,PD325901,A2780,24.61014916,0,1
601,5-FU,PD325901,MSTO,22.0330269,0,1
609,5-FU,PD325901,OVCAR3,24.68660319,0,1
613,5-FU,PD325901,SKMEL30,-144.4016546,0,0
618,5-FU,PD325901,T47D,46.99657957,0,1
628,5-FU,SORAFENIB,CAOV3,-16.67220342,2,0
637,5-FU,SORAFENIB,LNCAP,-13.39034615,2,0
638,5-FU,SORAFENIB,LOVO,-13.81534377,2,0
640,5-FU,SORAFENIB,MSTO,-13.50351384,2,0
648,5-FU,SORAFENIB,OVCAR3,-18.31547421,2,0
662,5-FU,SORAFENIB,ZR751,-11.36179266,2,0
679,5-FU,SUNITINIB,MSTO,-19.19337264,3,0
704,5-FU,TEMOZOLOMIDE,A375,-15.98333594,0,0
706,5-FU,TEMOZOLOMIDE,CAOV3,-35.66063407,0,0
709,5-FU,TEMOZOLOMIDE,EFM192B,-39.7171613,0,0
711,5-FU,TEMOZOLOMIDE,HCT116,-15.66309184,0,0
712,5-FU,TEMOZOLOMIDE,HT144,-24.286518,0,0
713,5-FU,TEMOZOLOMIDE,HT29,-13.17812058,0,0
714,5-FU,TEMOZOLOMIDE,KPL1,-32.03551474,0,0
715,5-FU,TEMOZOLOMIDE,LNCAP,-16.14608633,0,0
716,5-FU,TEMOZOLOMIDE,LOVO,-17.96614029,0,0
719,5-FU,TEMOZOLOMIDE,NCIH1650,-16.13611503,0,0
721,5-FU,TEMOZOLOMIDE,NCIH23,-22.41858189,0,0
722,5-FU,TEMOZOLOMIDE,NCIH460,-23.41105381,0,0
724,5-FU,TEMOZOLOMIDE,OCUBM,-15.12140115,0,0
730,5-FU,TEMOZOLOMIDE,SKMEL30,-55.9657771,0,0
734,5-FU,TEMOZOLOMIDE,SW837,-44.6178968,0,0
735,5-FU,TEMOZOLOMIDE,T47D,-31.48916586,0,0
736,5-FU,TEMOZOLOMIDE,UACC62,-11.96862443,0,0
740,5-FU,TEMOZOLOMIDE,ZR751,-51.98862044,0,0
744,5-FU,ZOLINZA,A427,-31.94692955,2,0
760,5-FU,ZOLINZA,NCIH23,-15.10567636,2,0
772,5-FU,ZOLINZA,SW620,-17.22800516,2,0
778,5-FU,ZOLINZA,VCAP,22.99565591,2,1
779,5-FU,ZOLINZA,ZR751,-20.67751276,2,0
780,ABT-888,BEZ-235,A2058,24.07097148,3,1
781,ABT-888,BEZ-235,A2780,29.43971431,3,1
782,ABT-888,BEZ-235,A375,26.77702751,3,1
784,ABT-888,BEZ-235,CAOV3,48.3199691,3,1
785,ABT-888,BEZ-235,COLO320DM,23.55289621,3,1
787,ABT-888,BEZ-235,EFM192B,24.83456937,3,1
791,ABT-888,BEZ-235,HT29,24.14577087,3,1
792,ABT-888,BEZ-235,KPL1,29.12456296,3,1
793,ABT-888,BEZ-235,LNCAP,78.70408281,3,1
795,ABT-888,BEZ-235,MDAMB436,24.11737313,3,1
796,ABT-888,BEZ-235,MSTO,42.00615065,3,1
801,ABT-888,BEZ-235,NCIH520,24.98075461,3,1
802,ABT-888,BEZ-235,OCUBM,28.49051729,3,1
804,ABT-888,BEZ-235,OVCAR3,21.71305205,3,1
805,ABT-888,BEZ-235,PA1,26.41696531,3,1
807,ABT-888,BEZ-235,RPMI7951,27.95688569,3,1
808,ABT-888,BEZ-235,SKMEL30,29.52276092,3,1
812,ABT-888,BEZ-235,SW837,23.28959911,3,1
813,ABT-888,BEZ-235,T47D,117.0012793,3,1
815,ABT-888,BEZ-235,UWB1289,32.06766556,3,1
816,ABT-888,BEZ-235,UWB1289BRCA1,29.63789318,3,1
818,ABT-888,BEZ-235,ZR751,27.42592944,3,1
832,ABT-888,DINACICLIB,LNCAP,44.93017733,4,1
852,ABT-888,DINACICLIB,T47D,-24.15595065,4,0
858,ABT-888,GELDANAMYCIN,A2058,22.66972082,3,1
867,ABT-888,GELDANAMYCIN,HCT116,22.97216302,3,1
871,ABT-888,GELDANAMYCIN,LNCAP,26.08846407,3,1
880,ABT-888,GELDANAMYCIN,OCUBM,31.71762887,3,1
882,ABT-888,GELDANAMYCIN,OVCAR3,20.48955403,3,1
884,ABT-888,GELDANAMYCIN,RKO,33.83147768,3,1
886,ABT-888,GELDANAMYCIN,SKMEL30,30.34189343,3,1
888,ABT-888,GELDANAMYCIN,SKOV3,-10.74656256,3,0
889,ABT-888,GELDANAMYCIN,SW620,-15.0026455,3,0
891,ABT-888,GELDANAMYCIN,T47D,-27.25381749,3,0
893,ABT-888,GELDANAMYCIN,UWB1289,-14.3043912,3,0
894,ABT-888,GELDANAMYCIN,UWB1289BRCA1,-31.47062211,3,0
896,ABT-888,GELDANAMYCIN,ZR751,-17.08015794,3,0
897,ABT-888,MK-8669,A2058,24.76000602,1,1
901,ABT-888,MK-8669,CAOV3,21.27725009,1,1
904,ABT-888,MK-8669,EFM192B,30.33180491,1,1
909,ABT-888,MK-8669,KPL1,41.59951047,1,1
913,ABT-888,MK-8669,MSTO,75.5280528,1,1
929,ABT-888,MK-8669,SW837,-16.01122021,1,0
932,ABT-888,MK-8669,UWB1289,23.35240873,1,1
944,ABT-888,MK-8776,ES2,-17.17202362,4,0
946,ABT-888,MK-8776,HT144,-51.21988037,4,0
949,ABT-888,MK-8776,LNCAP,-40.5994196,4,0
968,ABT-888,MK-8776,SW837,-85.53233701,4,0
971,ABT-888,MK-8776,UWB1289,-30.36395736,4,0
972,ABT-888,MK-8776,UWB1289BRCA1,-31.4103635,4,0
974,ABT-888,MK-8776,ZR751,-32.47762672,4,0
978,ABT-888,OXALIPLATIN,A427,-18.91591586,4,0
983,ABT-888,OXALIPLATIN,ES2,-16.82213133,4,0
985,ABT-888,OXALIPLATIN,HT144,-25.65655126,4,0
988,ABT-888,OXALIPLATIN,LNCAP,-27.21438006,4,0
989,ABT-888,OXALIPLATIN,LOVO,-22.77447668,4,0
992,ABT-888,OXALIPLATIN,NCIH1650,-17.38778235,4,0
994,ABT-888,OXALIPLATIN,NCIH23,-22.07509333,4,0
995,ABT-888,OXALIPLATIN,NCIH460,-20.36656057,4,0
998,ABT-888,OXALIPLATIN,OV90,-27.74913591,4,0
1000,ABT-888,OXALIPLATIN,PA1,-24.69461216,4,0
1002,ABT-888,OXALIPLATIN,RPMI7951,-26.72258512,4,0
1004,ABT-888,OXALIPLATIN,SKMES1,-13.38060668,4,0
1008,ABT-888,OXALIPLATIN,T47D,-34.67794411,4,0
1009,ABT-888,OXALIPLATIN,UACC62,-19.8337096,4,0
1010,ABT-888,OXALIPLATIN,UWB1289,-14.05042379,4,0
1011,ABT-888,OXALIPLATIN,UWB1289BRCA1,-10.62392281,4,0
1013,ABT-888,OXALIPLATIN,ZR751,-16.11918667,4,0
1014,ABT-888,SN-38,A2058,37.19755244,0,1
1015,ABT-888,SN-38,A2780,27.44316256,0,1
1016,ABT-888,SN-38,A375,29.45915958,0,1
1018,ABT-888,SN-38,CAOV3,41.82261363,0,1
1021,ABT-888,SN-38,EFM192B,30.14977964,0,1
1023,ABT-888,SN-38,HCT116,23.42591491,0,1
1027,ABT-888,SN-38,LNCAP,28.68890188,0,1
1030,ABT-888,SN-38,MSTO,21.46794278,0,1
1032,ABT-888,SN-38,NCIH2122,21.39044581,0,1
1034,ABT-888,SN-38,NCIH460,22.60303623,0,1
1036,ABT-888,SN-38,OCUBM,33.42900164,0,1
1038,ABT-888,SN-38,OVCAR3,33.01382776,0,1
1039,ABT-888,SN-38,PA1,31.16670432,0,1
1040,ABT-888,SN-38,RKO,30.53249026,0,1
1041,ABT-888,SN-38,RPMI7951,23.87063157,0,1
1042,ABT-888,SN-38,SKMEL30,29.65052395,0,1
1043,ABT-888,SN-38,SKMES1,20.08675206,0,1
1047,ABT-888,SN-38,T47D,39.83231175,0,1
1048,ABT-888,SN-38,UACC62,24.96544956,0,1
1052,ABT-888,SN-38,ZR751,-12.24364896,0,0
1053,ABT-888,SORAFENIB,A2058,36.19616521,1,1
1079,ABT-888,SORAFENIB,RKO,24.38215762,1,1
1094,ABT-888,TOPOTECAN,A375,-30.05242132,1,0
1098,ABT-888,TOPOTECAN,DLD1,-10.96641065,1,0
1099,ABT-888,TOPOTECAN,EFM192B,-16.2045174,1,0
1100,ABT-888,TOPOTECAN,ES2,-15.16316218,1,0
1102,ABT-888,TOPOTECAN,HT144,-12.71817083,1,0
1103,ABT-888,TOPOTECAN,HT29,-13.74201482,1,0
1106,ABT-888,TOPOTECAN,LOVO,-20.57774761,1,0
1109,ABT-888,TOPOTECAN,NCIH1650,-16.28525243,1,0
1111,ABT-888,TOPOTECAN,NCIH23,-13.17469848,1,0
1112,ABT-888,TOPOTECAN,NCIH460,-35.55824357,1,0
1116,ABT-888,TOPOTECAN,OVCAR3,-21.5827409,1,0
1118,ABT-888,TOPOTECAN,RKO,-12.44712596,1,0
1121,ABT-888,TOPOTECAN,SKMES1,-17.67508406,1,0
1124,ABT-888,TOPOTECAN,SW837,-13.77537319,1,0
1127,ABT-888,TOPOTECAN,UWB1289,-18.45347178,1,0
1128,ABT-888,TOPOTECAN,UWB1289BRCA1,-15.70654273,1,0
1129,ABT-888,TOPOTECAN,VCAP,-16.73042364,1,0
1144,AZD1775,ABT-888,LNCAP,-11.56591243,2,0
1163,AZD1775,ABT-888,SW837,-10.75733812,2,0
1164,AZD1775,ABT-888,T47D,-10.32331212,2,0
1166,AZD1775,ABT-888,UWB1289,60.31694066,2,1
1168,AZD1775,ABT-888,VCAP,-10.38201033,2,0
1169,AZD1775,ABT-888,ZR751,-11.19139976,2,0
1172,AZD1775,BEZ-235,A375,51.63655767,4,1
1174,AZD1775,BEZ-235,CAOV3,20.74582765,4,1
1176,AZD1775,BEZ-235,DLD1,30.50680672,4,1
1179,AZD1775,BEZ-235,HCT116,27.24417838,4,1
1180,AZD1775,BEZ-235,HT144,30.76397327,4,1
1182,AZD1775,BEZ-235,KPL1,21.91627509,4,1
1183,AZD1775,BEZ-235,LNCAP,61.89051853,4,1
1185,AZD1775,BEZ-235,MDAMB436,27.5112821,4,1
1186,AZD1775,BEZ-235,MSTO,24.1922954,4,1
1190,AZD1775,BEZ-235,NCIH460,38.21325157,4,1
1191,AZD1775,BEZ-235,NCIH520,28.82820786,4,1
1194,AZD1775,BEZ-235,OVCAR3,20.61275835,4,1
1196,AZD1775,BEZ-235,RKO,31.73685611,4,1
1199,AZD1775,BEZ-235,SKMES1,26.5938059,4,1
1200,AZD1775,BEZ-235,SKOV3,25.46992744,4,1
1202,AZD1775,BEZ-235,SW837,23.61253202,4,1
1203,AZD1775,BEZ-235,T47D,93.72819505,4,1
1204,AZD1775,BEZ-235,UACC62,23.04106128,4,1
1205,AZD1775,BEZ-235,UWB1289,78.4206107,4,1
1210,AZD1775,BORTEZOMIB,A2780,-17.55948042,2,0
1212,AZD1775,BORTEZOMIB,A427,-18.34661485,2,0
1213,AZD1775,BORTEZOMIB,CAOV3,-20.03555451,2,0
1214,AZD1775,BORTEZOMIB,COLO320DM,-34.72870023,2,0
1216,AZD1775,BORTEZOMIB,EFM192B,-10.78914679,2,0
1217,AZD1775,BORTEZOMIB,ES2,-18.64255603,2,0
1220,AZD1775,BORTEZOMIB,HT29,-18.92954483,2,0
1222,AZD1775,BORTEZOMIB,LNCAP,-11.56046415,2,0
1225,AZD1775,BORTEZOMIB,MSTO,36.59996851,2,1
1226,AZD1775,BORTEZOMIB,NCIH1650,-19.84631947,2,0
1227,AZD1775,BORTEZOMIB,NCIH2122,-16.26938113,2,0
1228,AZD1775,BORTEZOMIB,NCIH23,-18.820814,2,0
1230,AZD1775,BORTEZOMIB,NCIH520,-18.59569714,2,0
1231,AZD1775,BORTEZOMIB,OCUBM,-10.42875904,2,0
1232,AZD1775,BORTEZOMIB,OV90,-11.91326085,2,0
1233,AZD1775,BORTEZOMIB,OVCAR3,-16.93259274,2,0
1235,AZD1775,BORTEZOMIB,RKO,-12.67666435,2,0
1236,AZD1775,BORTEZOMIB,RPMI7951,-17.90369234,2,0
1237,AZD1775,BORTEZOMIB,SKMEL30,-15.70918499,2,0
1238,AZD1775,BORTEZOMIB,SKMES1,-18.74799388,2,0
1242,AZD1775,BORTEZOMIB,T47D,-16.28306878,2,0
1244,AZD1775,BORTEZOMIB,UWB1289,42.07240376,2,1
1246,AZD1775,BORTEZOMIB,VCAP,-24.43246657,2,0
1247,AZD1775,BORTEZOMIB,ZR751,-11.21496757,2,0
1248,AZD1775,DASATINIB,A2058,34.97062024,3,1
1249,AZD1775,DASATINIB,A2780,63.3161055,3,1
1250,AZD1775,DASATINIB,A375,63.34866372,3,1
1251,AZD1775,DASATINIB,A427,39.57408252,3,1
1252,AZD1775,DASATINIB,CAOV3,20.48847426,3,1
1254,AZD1775,DASATINIB,DLD1,29.602612,3,1
1256,AZD1775,DASATINIB,ES2,26.52038427,3,1
1257,AZD1775,DASATINIB,HCT116,28.47729987,3,1
1260,AZD1775,DASATINIB,KPL1,35.72886618,3,1
1261,AZD1775,DASATINIB,LNCAP,24.71473218,3,1
1262,AZD1775,DASATINIB,LOVO,25.42571635,3,1
1263,AZD1775,DASATINIB,MDAMB436,39.31007727,3,1
1264,AZD1775,DASATINIB,MSTO,56.50941313,3,1
1265,AZD1775,DASATINIB,NCIH1650,29.30647219,3,1
1266,AZD1775,DASATINIB,NCIH2122,-29.14558342,3,0
1267,AZD1775,DASATINIB,NCIH23,39.04268663,3,1
1268,AZD1775,DASATINIB,NCIH460,24.67543309,3,1
1269,AZD1775,DASATINIB,NCIH520,42.09049498,3,1
1270,AZD1775,DASATINIB,OCUBM,22.34062331,3,1
1271,AZD1775,DASATINIB,OV90,25.65497092,3,1
1272,AZD1775,DASATINIB,OVCAR3,52.799135,3,1
1274,AZD1775,DASATINIB,RKO,41.91153524,3,1
1279,AZD1775,DASATINIB,SW620,64.27435309,3,1
1280,AZD1775,DASATINIB,SW837,37.53767894,3,1
1282,AZD1775,DASATINIB,UACC62,29.47712099,3,1
1283,AZD1775,DASATINIB,UWB1289,36.84844558,3,1
1285,AZD1775,DASATINIB,VCAP,20.51484393,3,1
1286,AZD1775,DASATINIB,ZR751,-23.97165911,3,0
1287,AZD1775,DINACICLIB,A2058,-12.36585978,0,0
1290,AZD1775,DINACICLIB,A427,-11.37380434,0,0
1291,AZD1775,DINACICLIB,CAOV3,-21.76145014,0,0
1301,AZD1775,DINACICLIB,LOVO,-15.35342803,0,0
1305,AZD1775,DINACICLIB,NCIH2122,-11.4558726,0,0
1306,AZD1775,DINACICLIB,NCIH23,-24.27417292,0,0
1310,AZD1775,DINACICLIB,OV90,-17.31290487,0,0
1312,AZD1775,DINACICLIB,PA1,-10.04035301,0,0
1316,AZD1775,DINACICLIB,SKMES1,-18.11300988,0,0
1322,AZD1775,DINACICLIB,UWB1289,40.73011269,0,1
1323,AZD1775,DINACICLIB,UWB1289BRCA1,-10.32750257,0,0
1324,AZD1775,DINACICLIB,VCAP,-27.30666551,0,0
1325,AZD1775,DINACICLIB,ZR751,-14.95849747,0,0
1330,AZD1775,ERLOTINIB,CAOV3,23.63531282,3,1
1358,AZD1775,ERLOTINIB,SW837,26.33971849,3,1
1361,AZD1775,ERLOTINIB,UWB1289,71.36218648,3,1
1381,AZD1775,GELDANAMYCIN,MSTO,-14.8467137,1,0
1383,AZD1775,GELDANAMYCIN,NCIH2122,-11.43914148,1,0
1384,AZD1775,GELDANAMYCIN,NCIH23,-19.31689367,1,0
1388,AZD1775,GELDANAMYCIN,OV90,-16.49296861,1,0
1389,AZD1775,GELDANAMYCIN,OVCAR3,-23.09594295,1,0
1392,AZD1775,GELDANAMYCIN,RPMI7951,-10.08765428,1,0
1398,AZD1775,GELDANAMYCIN,T47D,-15.83642827,1,0
1400,AZD1775,GELDANAMYCIN,UWB1289,82.13340905,1,1
1402,AZD1775,GELDANAMYCIN,VCAP,-20.01642439,1,0
1403,AZD1775,GELDANAMYCIN,ZR751,-12.46712116,1,0
1406,AZD1775,LAPATINIB,A375,21.2157936,3,1
1408,AZD1775,LAPATINIB,CAOV3,29.90778381,3,1
1411,AZD1775,LAPATINIB,EFM192B,22.88571593,3,1
1417,AZD1775,LAPATINIB,LNCAP,-12.22936762,3,0
1418,AZD1775,LAPATINIB,LOVO,23.42830874,3,1
1436,AZD1775,LAPATINIB,SW837,33.69723988,3,1
1438,AZD1775,LAPATINIB,UACC62,22.17051952,3,1
1439,AZD1775,LAPATINIB,UWB1289,83.04565373,3,1
1442,AZD1775,LAPATINIB,ZR751,-12.03149739,3,0
1444,AZD1775,MK-2206,A2780,21.08159858,4,1
1445,AZD1775,MK-2206,A375,22.7261358,4,1
1447,AZD1775,MK-2206,CAOV3,23.94126471,4,1
1449,AZD1775,MK-2206,DLD1,29.23708726,4,1
1455,AZD1775,MK-2206,KPL1,27.62449166,4,1
1472,AZD1775,MK-2206,SKMES1,29.43976676,4,1
1473,AZD1775,MK-2206,SKOV3,28.77331594,4,1
1475,AZD1775,MK-2206,SW837,20.6844303,4,1
1478,AZD1775,MK-2206,UWB1289,94.88728323,4,1
1482,AZD1775,MK-4827,A2058,32.76872947,1,1
1484,AZD1775,MK-4827,A375,20.43024601,1,1
1499,AZD1775,MK-4827,NCIH1650,22.48071637,1,1
1500,AZD1775,MK-4827,NCIH2122,25.08213802,1,1
1504,AZD1775,MK-4827,OCUBM,73.21985334,1,1
1506,AZD1775,MK-4827,OVCAR3,60.0744133,1,1
1507,AZD1775,MK-4827,PA1,31.75829571,1,1
1516,AZD1775,MK-4827,UACC62,21.79819028,1,1
1517,AZD1775,MK-4827,UWB1289,66.35613169,1,1
1518,AZD1775,MK-4827,UWB1289BRCA1,-11.27183824,1,0
1539,AZD1775,MK-5108,NCIH2122,-15.78427287,0,0
1551,AZD1775,MK-5108,SKOV3,23.42185222,0,1
1556,AZD1775,MK-5108,UWB1289,65.6475366,0,1
1560,AZD1775,MK-8669,A2058,38.93836298,4,1
1561,AZD1775,MK-8669,A2780,26.15576468,4,1
1562,AZD1775,MK-8669,A375,42.60021913,4,1
1563,AZD1775,MK-8669,A427,28.16870642,4,1
1564,AZD1775,MK-8669,CAOV3,21.90470536,4,1
1566,AZD1775,MK-8669,DLD1,27.91268345,4,1
1567,AZD1775,MK-8669,EFM192B,31.41552695,4,1
1568,AZD1775,MK-8669,ES2,30.71813145,4,1
1570,AZD1775,MK-8669,HT144,20.25239339,4,1
1571,AZD1775,MK-8669,HT29,22.90490363,4,1
1572,AZD1775,MK-8669,KPL1,32.90502518,4,1
1573,AZD1775,MK-8669,LNCAP,24.31792545,4,1
1575,AZD1775,MK-8669,MDAMB436,20.28457326,4,1
1576,AZD1775,MK-8669,MSTO,27.456432,4,1
1577,AZD1775,MK-8669,NCIH1650,36.96883119,4,1
1579,AZD1775,MK-8669,NCIH23,20.04664176,4,1
1582,AZD1775,MK-8669,OCUBM,34.18528448,4,1
1584,AZD1775,MK-8669,OVCAR3,25.80012437,4,1
1585,AZD1775,MK-8669,PA1,30.80415567,4,1
1586,AZD1775,MK-8669,RKO,29.01960223,4,1
1587,AZD1775,MK-8669,RPMI7951,33.03589298,4,1
1588,AZD1775,MK-8669,SKMEL30,29.84403079,4,1
1589,AZD1775,MK-8669,SKMES1,20.83918079,4,1
1590,AZD1775,MK-8669,SKOV3,46.2955311,4,1
1592,AZD1775,MK-8669,SW837,23.9856736,4,1
1593,AZD1775,MK-8669,T47D,28.9104439,4,1
1594,AZD1775,MK-8669,UACC62,31.87602611,4,1
1595,AZD1775,MK-8669,UWB1289,97.70362184,4,1
1599,AZD1775,MK-8776,A2058,69.5765509,3,1
1600,AZD1775,MK-8776,A2780,54.0791044,3,1
1601,AZD1775,MK-8776,A375,66.96858448,3,1
1602,AZD1775,MK-8776,A427,67.36023191,3,1
1603,AZD1775,MK-8776,CAOV3,21.04345891,3,1
1604,AZD1775,MK-8776,COLO320DM,35.95576605,3,1
1606,AZD1775,MK-8776,EFM192B,42.03556396,3,1
1607,AZD1775,MK-8776,ES2,42.84875816,3,1
1608,AZD1775,MK-8776,HCT116,48.56639788,3,1
1609,AZD1775,MK-8776,HT144,45.71018599,3,1
1610,AZD1775,MK-8776,HT29,57.15392118,3,1
1613,AZD1775,MK-8776,LOVO,26.6490564,3,1
1614,AZD1775,MK-8776,MDAMB436,47.22748984,3,1
1615,AZD1775,MK-8776,MSTO,42.8606636,3,1
1616,AZD1775,MK-8776,NCIH1650,42.51019114,3,1
1617,AZD1775,MK-8776,NCIH2122,27.20682943,3,1
