Cancer_score,Cancer_Types,Methods
0.822,Lung Cancer,Pointy
0.978,Lung Cancer,Pointy
0.974,Lung Cancer,Pointy
0.959,Lung Cancer,Pointy
0.88,Ovarian Cancer,Pointy
0.912,Ovarian Cancer,Pointy
0.738,Ovarian Cancer,Pointy
0.9,Ovarian Cancer,Pointy
0.942,Ovarian Cancer,Pointy
0.936,Ovarian Cancer,Pointy
0.732,Lung Cancer,Pointy
0.964,Lung Cancer,Pointy
0.922,Ovarian Cancer,Pointy
0.962,Ovarian Cancer,Pointy
0.976,Lung Cancer,Pointy
0.996,Lung Cancer,Pointy
0.994,Lung Cancer,Pointy
0.876,Lung Cancer,Pointy
0.982,Lung Cancer,Pointy
0.984,Lung Cancer,Pointy
0.826,Lung Cancer,Pointy
0.976,Lung Cancer,Pointy
0.978,Lung Cancer,Pointy
0.962,Lung Cancer,Pointy
0.99,Lung Cancer,Pointy
0.752,Breast Cancer,Pointy
0.922,Breast Cancer,Pointy
0.92,Breast Cancer,Pointy
0.862,Breast Cancer,Pointy
0.96,Breast Cancer,Pointy
0.888,Breast Cancer,Pointy
0.924,Breast Cancer,Pointy
0.543,Breast Cancer,Pointy
0.964,Breast Cancer,Pointy
0.904,Breast Cancer,Pointy
0.864,Breast Cancer,Pointy
0.958,Breast Cancer,Pointy
0.954,Breast Cancer,Pointy
0.961,Breast Cancer,Pointy
0.952,Breast Cancer,Pointy
0.906,Breast Cancer,Pointy
0.868,Breast Cancer,Pointy
0.874,Breast Cancer,Pointy
0.876,Breast Cancer,Pointy
0.934,Breast Cancer,Pointy
0.864,Breast Cancer,Pointy
0.9,Breast Cancer,Pointy
0.976,Breast Cancer,Pointy
0.932,Breast Cancer,Pointy
0.75,Breast Cancer,Pointy
0.916,Breast Cancer,Pointy
0.968,Breast Cancer,Pointy
0.98,Breast Cancer,Pointy
0.936,Ovarian Cancer,Pointy
0.99,Ovarian Cancer,Pointy
0.976,Ovarian Cancer,Pointy
0.93,Ovarian Cancer,Pointy
0.96,Lung Cancer,Pointy
0.906,Lung Cancer,Pointy
1,Lung Cancer,Pointy
0.98,Lung Cancer,Pointy
0.912,Colorectal Cancer,Pointy
0.796,Colorectal Cancer,Pointy
0.928,Colorectal Cancer,Pointy
0.894,Colorectal Cancer,Pointy
0.906,Colorectal Cancer,Pointy
1,Breast Cancer,ClinicalEarlyCancerDF
0.959,Breast Cancer,ClinicalEarlyCancerDF
0.999,Breast Cancer,ClinicalEarlyCancerDF
0.941,Breast Cancer,ClinicalEarlyCancerDF
0.096,Breast Cancer,ClinicalEarlyCancerDF
0.828,Breast Cancer,ClinicalEarlyCancerDF
0.996,Breast Cancer,ClinicalEarlyCancerDF
0.999,Breast Cancer,ClinicalEarlyCancerDF
0.993,Breast Cancer,ClinicalEarlyCancerDF
0.994,Breast Cancer,ClinicalEarlyCancerDF
0.995,Breast Cancer,ClinicalEarlyCancerDF
0.984,Breast Cancer,ClinicalEarlyCancerDF
1,Breast Cancer,ClinicalEarlyCancerDF
0.713,Breast Cancer,ClinicalEarlyCancerDF
0.334,Breast Cancer,ClinicalEarlyCancerDF
0.59,Breast Cancer,ClinicalEarlyCancerDF
0.906,Breast Cancer,ClinicalEarlyCancerDF
0.305,Breast Cancer,ClinicalEarlyCancerDF
0.318,Breast Cancer,ClinicalEarlyCancerDF
1,Breast Cancer,ClinicalEarlyCancerDF
0.903,Breast Cancer,ClinicalEarlyCancerDF
0.717,Breast Cancer,ClinicalEarlyCancerDF
0.995,Breast Cancer,ClinicalEarlyCancerDF
0.912,Breast Cancer,ClinicalEarlyCancerDF
0.925,Breast Cancer,ClinicalEarlyCancerDF
0.422,Breast Cancer,ClinicalEarlyCancerDF
0.95,Breast Cancer,ClinicalEarlyCancerDF
0.894,Breast Cancer,ClinicalEarlyCancerDF
0.982,Breast Cancer,ClinicalEarlyCancerDF
0.974,Breast Cancer,ClinicalEarlyCancerDF
0.637,Breast Cancer,ClinicalEarlyCancerDF
0.997,Breast Cancer,ClinicalEarlyCancerDF
0.99,Breast Cancer,ClinicalEarlyCancerDF
0.999,Breast Cancer,ClinicalEarlyCancerDF
0.995,Breast Cancer,ClinicalEarlyCancerDF
1,Breast Cancer,ClinicalEarlyCancerDF
0.772,Breast Cancer,ClinicalEarlyCancerDF
0.932,Breast Cancer,ClinicalEarlyCancerDF
0.213,Breast Cancer,ClinicalEarlyCancerDF
0.938,Breast Cancer,ClinicalEarlyCancerDF
0.866,Breast Cancer,ClinicalEarlyCancerDF
0.982,Breast Cancer,ClinicalEarlyCancerDF
0.999,Breast Cancer,ClinicalEarlyCancerDF
0.923,Breast Cancer,ClinicalEarlyCancerDF
0.572,Breast Cancer,ClinicalEarlyCancerDF
1,Breast Cancer,ClinicalEarlyCancerDF
0.534,Breast Cancer,ClinicalEarlyCancerDF
0.345,Breast Cancer,ClinicalEarlyCancerDF
0.326,Colorectal Cancer,ClinicalEarlyCancerDF
0.647,Colorectal Cancer,ClinicalEarlyCancerDF
0.963,Colorectal Cancer,ClinicalEarlyCancerDF
1,Colorectal Cancer,ClinicalEarlyCancerDF
0.932,Colorectal Cancer,ClinicalEarlyCancerDF
0.699,Colorectal Cancer,ClinicalEarlyCancerDF
0.999,Colorectal Cancer,ClinicalEarlyCancerDF
0.996,Colorectal Cancer,ClinicalEarlyCancerDF
0.991,Colorectal Cancer,ClinicalEarlyCancerDF
0.998,Colorectal Cancer,ClinicalEarlyCancerDF
0.996,Colorectal Cancer,ClinicalEarlyCancerDF
0.851,Colorectal Cancer,ClinicalEarlyCancerDF
0.995,Colorectal Cancer,ClinicalEarlyCancerDF
0.978,Colorectal Cancer,ClinicalEarlyCancerDF
0.854,Colorectal Cancer,ClinicalEarlyCancerDF
1,Colorectal Cancer,ClinicalEarlyCancerDF
0.997,Colorectal Cancer,ClinicalEarlyCancerDF
0.999,Colorectal Cancer,ClinicalEarlyCancerDF
0.964,Colorectal Cancer,ClinicalEarlyCancerDF
0.959,Colorectal Cancer,ClinicalEarlyCancerDF
0.316,Colorectal Cancer,ClinicalEarlyCancerDF
0.738,Colorectal Cancer,ClinicalEarlyCancerDF
0.971,Colorectal Cancer,ClinicalEarlyCancerDF
1,Colorectal Cancer,ClinicalEarlyCancerDF
1,Colorectal Cancer,ClinicalEarlyCancerDF
0.26,Colorectal Cancer,ClinicalEarlyCancerDF
0.988,Colorectal Cancer,ClinicalEarlyCancerDF
0.963,Gastric cancer,ClinicalEarlyCancerDF
1,Gastric cancer,ClinicalEarlyCancerDF
0.378,Gastric cancer,ClinicalEarlyCancerDF
0.632,Gastric cancer,ClinicalEarlyCancerDF
0.436,Gastric cancer,ClinicalEarlyCancerDF
0.996,Gastric cancer,ClinicalEarlyCancerDF
0.96,Gastric cancer,ClinicalEarlyCancerDF
0.483,Gastric cancer,ClinicalEarlyCancerDF
0.854,Gastric cancer,ClinicalEarlyCancerDF
0.959,Gastric cancer,ClinicalEarlyCancerDF
1,Gastric cancer,ClinicalEarlyCancerDF
0.916,Gastric cancer,ClinicalEarlyCancerDF
0.708,Gastric cancer,ClinicalEarlyCancerDF
0.827,Gastric cancer,ClinicalEarlyCancerDF
1,Gastric cancer,ClinicalEarlyCancerDF
0.986,Gastric cancer,ClinicalEarlyCancerDF
0.994,Gastric cancer,ClinicalEarlyCancerDF
0.368,Gastric cancer,ClinicalEarlyCancerDF
0.698,Gastric cancer,ClinicalEarlyCancerDF
1,Gastric cancer,ClinicalEarlyCancerDF
0.784,Gastric cancer,ClinicalEarlyCancerDF
0.999,Gastric cancer,ClinicalEarlyCancerDF
0.875,Gastric cancer,ClinicalEarlyCancerDF
0.901,Gastric cancer,ClinicalEarlyCancerDF
0.997,Gastric cancer,ClinicalEarlyCancerDF
0.545,Gastric cancer,ClinicalEarlyCancerDF
0.937,Gastric cancer,ClinicalEarlyCancerDF
0.996,Lung Cancer,ClinicalEarlyCancerDF
0.946,Lung Cancer,ClinicalEarlyCancerDF
0.303,Lung Cancer,ClinicalEarlyCancerDF
0.434,Lung Cancer,ClinicalEarlyCancerDF
0.107,Lung Cancer,ClinicalEarlyCancerDF
0.938,Lung Cancer,ClinicalEarlyCancerDF
0.995,Lung Cancer,ClinicalEarlyCancerDF
0.631,Lung Cancer,ClinicalEarlyCancerDF
0.691,Lung Cancer,ClinicalEarlyCancerDF
0.889,Lung Cancer,ClinicalEarlyCancerDF
0.988,Lung Cancer,ClinicalEarlyCancerDF
1,Lung Cancer,ClinicalEarlyCancerDF
1,Lung Cancer,ClinicalEarlyCancerDF
0.938,Lung Cancer,ClinicalEarlyCancerDF
0.98,Lung Cancer,ClinicalEarlyCancerDF
1,Lung Cancer,ClinicalEarlyCancerDF
1,Lung Cancer,ClinicalEarlyCancerDF
0.785,Lung Cancer,ClinicalEarlyCancerDF
0.992,Lung Cancer,ClinicalEarlyCancerDF
0.701,Lung Cancer,ClinicalEarlyCancerDF
0.993,Lung Cancer,ClinicalEarlyCancerDF
0.669,Lung Cancer,ClinicalEarlyCancerDF
1,Lung Cancer,ClinicalEarlyCancerDF
0.723,Lung Cancer,ClinicalEarlyCancerDF
1,Lung Cancer,ClinicalEarlyCancerDF
0.847,Lung Cancer,ClinicalEarlyCancerDF
0.998,Lung Cancer,ClinicalEarlyCancerDF
0.98,Lung Cancer,ClinicalEarlyCancerDF
0.949,Lung Cancer,ClinicalEarlyCancerDF
0.973,Lung Cancer,ClinicalEarlyCancerDF
0.988,Lung Cancer,ClinicalEarlyCancerDF
0.984,Lung Cancer,ClinicalEarlyCancerDF
0.755,Lung Cancer,ClinicalEarlyCancerDF
1,Lung Cancer,ClinicalEarlyCancerDF
0.925,Lung Cancer,ClinicalEarlyCancerDF
0.997,Lung Cancer,ClinicalEarlyCancerDF
0.979,Lung Cancer,ClinicalEarlyCancerDF
0.934,Ovarian Cancer,ClinicalEarlyCancerDF
0.995,Ovarian Cancer,ClinicalEarlyCancerDF
0.993,Ovarian Cancer,ClinicalEarlyCancerDF
0.939,Ovarian Cancer,ClinicalEarlyCancerDF
0.996,Ovarian Cancer,ClinicalEarlyCancerDF
0.689,Ovarian Cancer,ClinicalEarlyCancerDF
0.932,Ovarian Cancer,ClinicalEarlyCancerDF
0.396,Ovarian Cancer,ClinicalEarlyCancerDF
1,Ovarian Cancer,ClinicalEarlyCancerDF
0.946,Ovarian Cancer,ClinicalEarlyCancerDF
0.989,Ovarian Cancer,ClinicalEarlyCancerDF
0.989,Ovarian Cancer,ClinicalEarlyCancerDF
0.769,Ovarian Cancer,ClinicalEarlyCancerDF
1,Ovarian Cancer,ClinicalEarlyCancerDF
1,Ovarian Cancer,ClinicalEarlyCancerDF
1,Ovarian Cancer,ClinicalEarlyCancerDF
1,Ovarian Cancer,ClinicalEarlyCancerDF
0.919,Ovarian Cancer,ClinicalEarlyCancerDF
0.974,Ovarian Cancer,ClinicalEarlyCancerDF
0.964,Ovarian Cancer,ClinicalEarlyCancerDF
0.99,Ovarian Cancer,ClinicalEarlyCancerDF
0.922,Ovarian Cancer,ClinicalEarlyCancerDF
1,Ovarian Cancer,ClinicalEarlyCancerDF
0.996,Ovarian Cancer,ClinicalEarlyCancerDF
0.998,Ovarian Cancer,ClinicalEarlyCancerDF
1,Ovarian Cancer,ClinicalEarlyCancerDF
0.996,Pancreatic Cancer,ClinicalEarlyCancerDF
0.981,Pancreatic Cancer,ClinicalEarlyCancerDF
0.623,Pancreatic Cancer,ClinicalEarlyCancerDF
0.928,Pancreatic Cancer,ClinicalEarlyCancerDF
0.923,Pancreatic Cancer,ClinicalEarlyCancerDF
0.974,Pancreatic Cancer,ClinicalEarlyCancerDF
1,Pancreatic Cancer,ClinicalEarlyCancerDF
0.992,Pancreatic Cancer,ClinicalEarlyCancerDF
0.998,Pancreatic Cancer,ClinicalEarlyCancerDF
0.604,Pancreatic Cancer,ClinicalEarlyCancerDF
0.956,Pancreatic Cancer,ClinicalEarlyCancerDF
0.748,Pancreatic Cancer,ClinicalEarlyCancerDF
0.999,Pancreatic Cancer,ClinicalEarlyCancerDF
0.975,Pancreatic Cancer,ClinicalEarlyCancerDF
0.918,Pancreatic Cancer,ClinicalEarlyCancerDF
1,Pancreatic Cancer,ClinicalEarlyCancerDF
0.898,Pancreatic Cancer,ClinicalEarlyCancerDF
0.999,Pancreatic Cancer,ClinicalEarlyCancerDF
0.994,Pancreatic Cancer,ClinicalEarlyCancerDF
1,Pancreatic Cancer,ClinicalEarlyCancerDF
0.894,Pancreatic Cancer,ClinicalEarlyCancerDF
0.696,Pancreatic Cancer,ClinicalEarlyCancerDF
0.317,Pancreatic Cancer,ClinicalEarlyCancerDF
0.974,Pancreatic Cancer,ClinicalEarlyCancerDF
0.909,Pancreatic Cancer,ClinicalEarlyCancerDF
0.999,Pancreatic Cancer,ClinicalEarlyCancerDF
0.39,Pancreatic Cancer,ClinicalEarlyCancerDF
0.818,Pancreatic Cancer,ClinicalEarlyCancerDF
0.837,Pancreatic Cancer,ClinicalEarlyCancerDF
0.166,Pancreatic Cancer,ClinicalEarlyCancerDF
1,Pancreatic Cancer,ClinicalEarlyCancerDF
0.999,Pancreatic Cancer,ClinicalEarlyCancerDF
1,Pancreatic Cancer,ClinicalEarlyCancerDF
